DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost
* ******************************TIPO_DANNO****************************** Perdita acqua da zona scambiatore di calore valvola EGR. * ********************************CAUSA********************************* Perdita scambiatore di calore da innesto tubazioni (un innesto rotto ed sufficiente la sostituzione del raccordo di innesto. L o scambiatore di calore integro) * ******************************CORREZIONE****************************** Controllo perdita liquido refrigerante. Scarico e rifornimento liquido refrigerante. Controllo della perdita. Sostituzione kit racco rdi innesto tubazioni su scambiatore di calore per eliminazione perdita. Rabbocco liquido refrigerante.,EGR HEAT EXCHANGER,WATER LEAKS,REPAIR KIT,2.0,116.67
******************************SKARGA********************************** WYCIEKI PŁYNU ADBLUE ZE ZBIORNIKA ADBLUE ********************************CPRZ********************************** WADLIWY ROZSZCZELNIONY ZBIORNIK ADBLUE ******************************KORECTA********************************* WYMIANA ZBIORNIKA ADBLUE,AD-BLUE TANK,DEFECT,TANK/RESERVOIR,2.0,160.219239
"******************************Fejl************************************ Lyser for motorfejl ********************************Årsag********************************* EGR ventil er defekt ******************************Rettelse******************************** Udlæsning og sletning af motorfejl.
EGR ventil udskiftet",EGR VALVE,DEFECT,EGR VALVE,1.0,432.654155
"******************************REKL************************************ EDC KONTROLLE BRENNT STAENDIG, PRUEFEN UND 
INSTANDSETZEN ********************************GRUND********************************* NOX SENSOR NACH KAT SCHADHAFTER KONTAKT ******************************KORRECTUR******************************* NOX SENSOR NACH KAT ERNEUERT",NOX DETECTION SENSOR,DEFECTIVE CONTACTS,SENSOR,1.0,313.54
"******************************COMPLAINT******************************* Vehicle Body Cracked.
 ********************************CAUSE********************************* Cracked at left side B-Post at door latch. Right side dome and windscreen 
frame cracked. Right side front dome corner post. Right side front dome 
corner post above windscreen ******************************CORRECTION****************************** Get panel beaters to repair cracked vehicle body - See invoice attached",FRONT DOOR AREA,CRACKED,SIDE PANEL,0.0,477.8157
******************************REKL************************************ Türfeststeller der Fahrertür ist lose ********************************GRUND********************************* Türfeststeller der Fahrertür ist lose ******************************KORRECTUR******************************* Türfeststeller neu befestigt,DOOR STOP STRUTS,LOOSE RETAINER,SUPPORT,0.0,9.2
* ******************************SKARGA********************************** WYCIEK Z TYLNEGO MOSTU * ********************************CPRZ********************************** NIESZCZELNA MASA USZCZELNIAJACA POKRYWY TYLNEJ MOSTU * ******************************KORECTA********************************* USZCZELNIENIE DEKLA TYLNEGO MOSTU,GASKET,DEFORMED,COVER,1.0,69.903158
"******************************COMPLAINT******************************* POWER STEERING FAULTY ********************************CAUSE********************************* STEERING HARD WHEN TURNING DUE TO STEERING PUMP 
CAVITATING AND NOT PUMPING ENOUGH FLUID TO AID THE 
STEERING THUS STEERING HARD DUE TO AN INTERNAL 
FAILURE ON PUMP ******************************CORRECTION****************************** REPLACE STEERING PUMP",HYDRAULIC STEER.PUMP,DEFECT,OIL PUMP-STEERING,4.0,352.984421
"******************************REKL************************************ EDC Fehler wird angezeigt
 ********************************GRUND********************************* NOx- Sensor vor SCR schadhaft
 ******************************KORRECTUR******************************* Fehlerspeicher ausgelesen und ausgewertet.
NOx- Sensor a+e, erneuert. Fehlerspeicher gelöscht.",NOX DETECTION SENSOR,SHORT CIRCUIT,NOX SENSOR,6.0,295.7
"******************************COMPLAINT******************************* Uniká olej z diferenciálu ********************************CAUSE********************************* Deformované gufero unášača diferenciálu ******************************CORRECTION****************************** výmena gufera, kontrola + vyčistenie odvzdušnenia, kontrola 
hladiny oleja + doplnenie",FLANGE SEAL,DEFORMED,SHAFT SEAL,1.51,75.25
******************************TIPO_DANNO****************************** PERDITA ARIA ********************************CAUSA********************************* ROTTURE SU MANICOTTI INERCOOLER ******************************CORREZIONE****************************** SOST.NE,SLEEVES,BREAK,RUBBER SLEEVE,2.0,184.91
"******************************REKL************************************ KÜhlwasserverlust ********************************GRUND********************************* Rohrleitung zum Adblue Dosierer undicht ******************************KORRECTUR******************************* Fahrzeug muss abgeschleppt werden, Strae reinigen,",ANS 24H RECOVERY CHARGE,MISCELLANEOUS,PIPE,0.0,150.66
* ******************************TIPO_DANNO****************************** SPIA MOTORE * ********************************CAUSA********************************* DIFETTOSITA' CONTATTI SENSORI DI TEMEPERATURA GAS DI SCARICO * ******************************CORREZIONE****************************** DIAGNOSI EDC S-R SENSORI TEMEPERATURA CANCELLAZOIONE MEMORIA GUASTI ECONOMIA PER SISTEMAZIONE E PULIZIA CONTATTI E CABLAGGIO CATALIZ ZATORE,TEMPERATURE SENSOR,DEFECTIVE CONTACTS,EXH.GAS TEMP. SENSOR,0.0,92.0
******************************SKARGA********************************** ðWIECI SIE KOMUNIKAT SPRAWDZ SILNIK ********************************CPRZ********************************** ZAPCHANY FILTR DPF ******************************KORECTA********************************* REGENERACJA FILTRA DPF,CATALYZER,DEFECT,CATALYTIC SILENCER,0.0,68.608501
"******************************SKARGA********************************** WYCIEK P YNU CH ODNICZEGO, PEKNIETE PRZEWODY, WYMIANA 
PRZEWODOW ********************************CPRZ********************************** WYCIEK P YNU CH ODNICZEGO, PEKNIETE PRZEWODY, WYMIANA 
PRZEWODOW ******************************KORECTA********************************* WYCIEK P YNU CH ODNICZEGO, PEKNIETE PRZEWODY, WYMIANA 
PRZEWODOW",PIPES,BREAK,WATER PIPE,5.5,50.456842
******************************COMPLAINT******************************* Check Vehicle bumper mounting ********************************CAUSE********************************* Bumper loose due to retainers cracked ******************************CORRECTION****************************** Replaced Retainers,"BUMPER RETAINERS,BRACKETS",CRACKED,RETAINER,3.0,134.305461
"* ******************************REKL************************************ FAHRZEUG HAT LEISTUNGSVERLUST * ********************************GRUND******************************** TEMPERATURSENSOR NACH DPF IST DEFEKT * ******************************KORRECTUR******************************* TEST UDT;FEHLERSPEICHER AUSGELESEN,GEFUEHRTES VERFAHREN IM E-TIM DURCHGEFUEHRT,STROMKREIS VOM TEMPSENSOR NACH DPF GEPRUEFT,TEMPSENSO R ABGASAUSGANG ERNEUERT, ZWANGSREGENERATION DURCHGEFUEHRT",TEMPERATURE SENSOR,DEFECT,SENSOR,1.0,275.44
"******************************COMPLAINT******************************* zgomot la viraj ********************************CAUSE********************************* rulment roata stanga fata - joc
 ******************************CORRECTION****************************** inlocuit rulment roata fata stanga
",FRT AXLE WHEEL HUBS,BREAK,WHEEL HUB SET,1.0,164.187008
"******************************COMPLAINT******************************* Customer claims about oil leak from FA

 ********************************CAUSE********************************* After FA inspection was identified that front axle right side 
wheel hub is blocked/defective 
 ******************************CORRECTION****************************** Replace FA right side wheel hub",FRT AXLE WHEEL HUBS,BLOCKAGE,WHEEL HUB SET,1.0,304.95
* ******************************INCIDENT******************************** PLUS DE CENTRALISATION * ********************************CAUSE********************************* CLEF COURT CIRCUIT * ******************************SOLUTION******************************** D-R COMMUTATEUR SUR COLONNE DIRECTIONPREPARATION STATION U.D.T.DIAGNOSTIC BODY COMPUTERSAUF PREPARATION STATIONMEMORISATION/REMEMORI SATION CLES DE CONTACTSAUF PREPARATION STATIONLECTURE DE MEMOIRE DES PANNES ET EFFACEMENTSAUF PREPARATION STATION,STARTER SWITCH,SHORT CIRCUIT,TOOLS OF IGNITION,1.0,174.73
* ******************************INCIDENT******************************** FUITE DE LR DANAS CABINE * ********************************CAUSE********************************* RUPTURE TUY. RECHAUFFEUR * ******************************SOLUTION******************************** CONTROLE + RECHERCHE DE FUITE - DEPOSE T BORD + REMAPLCEMENT FLEXIBLE RADIATEUR + RAVITAILLEMENT LR,HEATER PIPES,BREAK,KIT-RADIATOR,2.0,555.92
* ******************************REKL************************************ BREMSKONTROLLE AKTIV/VERSCHLEISVERKABELUNG HINTEN * ********************************GRUND******************************** SCHADHAFTE VERKABELUNG * ******************************KORRECTUR******************************* VERSCHLEISVERKABELUNG ZUR HINTERACHSE RECHTS INSTANDGESETZT,PAD WEAR SENSOR,DEFECTIVE CONTACTS,BRAKEWEARINDIC.EL.,6.0,103.02
******************************SKARGA********************************** AKTYWNA KONTROLKA SILNIKA ORAZ AD-BLU ********************************CPRZ********************************** USZKODZONA WEWNĘTRZNIE GRZAŁKA AD-BLU ******************************KORECTA********************************* W/Z GRZAŁKI AD-BLU + DIAGNOSYKA,PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,116.178971
"******************************COMPLAINT******************************* Ingen lys i V. baglygte ********************************CAUSE********************************* V. baglygte er fuld af vand ( ingen skader på lygten )
Lygte kortsluttet ******************************CORRECTION****************************** V. baglygte udskiftet",REAR LIGHT,WATER INFILTRATION,TAIL LAMP,1.0,73.605898
"* ******************************RECLAMO******************************* SE ENCIENDE TESTIGO DE ALTERNADOR. * ********************************CAUSA********************************* ALTERNADOR CON FALLO INTERNO Y NO CARGA * ******************************SOLUCION****************************** COMPROB. CARGA ALTERNADOR Y SUSTITUIR, MONTADO ALTERNADOR NUEVO POR NO HABER STOCK DE ALTERNADOR REMAN",ALTERNATOR ASSEMBLY,DEFECTIVE CONTACTS,ALTERNATOR,1.0,287.98
* ******************************KLACHT********************************** ONREGELMATIGE WERKING * ********************************OORZAAK****************************** ONREGELMATIGE WERKING * ******************************CORRECTIE******************************* /VOORBEREIDING STATION U.D.T./DIAGNOSE INST.EDC MOTOR/DIAGNOSE SCR-INSTALLATIE/GEFORCEERDE REGENERATIE ROETFI/TOTALE PROGRAMMERING E DC-REGEL/TELEPROGRAMMERING/REGELEENHEDEN TESTEN EN STORIN,ENGINE DRIVE CONTR.UNIT,MISFIRE,ECU-ENGINE,0.0,155.55
"******************************COMPLAINT******************************* při nastartování studené převodovky - jde ztuha řadit I. a II. RS ********************************CAUSE********************************* ,NESPRAVNA VULE ******************************CORRECTION****************************** diagnostika, zjištěna závada lan, demontáž a oprava, zpětná kompletace, 
seřízení",GEAR CONTROL RODS,INCORRECT CLEARANCE,FLEXIBLE CONTROL,0.0,163.4
"* ******************************RECLAMO******************************* 1E- LUZ MOTOR ACESA * ********************************CAUSA********************************* VALVULA EGR COM RUTURA * ******************************SOLUCION****************************** DIAGNéSTICO, SUBSTITUIà O DA VALVULA EGR",EGR VALVE,BREAK,EGR VALVE,1.0,309.0
******************************INCIDENT******************************** BRUIT D'AIR DANS LA CABINE ********************************CAUSE********************************* RUPTURE DES PROFILES DE VITRE ******************************SOLUTION******************************** REMPLACEMENT DES PROFILES,GASKET,BREAK,RUBBER GASKET,3.0,139.37
* ******************************SKARGA********************************** ZAPOCENIE SKRZYNI BIEGOW PRZY KORKU WLEWU OLEJU * ********************************CPRZ********************************** SAMOCZYNNE POLUZOWANIE SIE KORKA WLEWU OLEJU * ******************************KORECTA********************************* DOKRECENIE KORKa WLEWU OLEJU I MYCIE SKRZYNI Z WYCIEKU,MECHANICAL GEARBOX ASSY,TOO LOOSE/FLEXIBLE,THREADED PLUG,0.0,11.437895
******************************KLACHT********************************** SOFTWARE UPDATE ICT UITGEVOERD. ********************************OORZAAK******************************* ONREGELMATIGE WERKING ******************************CORRECTIE******************************* SOFTWARE UPDATE ICT UITGEVOERD. TELEPROGRAMMERING,INSTRUMENT PANEL,MISFIRE,CLUSTER,0.0,49.65
* ******************************REKL************************************ MOTOROELVERLUST * ********************************GRUND******************************** OELKUEHLER FLACHDICHTUNG UNDICHT * ******************************KORRECTUR******************************* A-E,HEAT EXCHANGER,OIL LEAKS,FLAT GASKET ENGINE,1.0,174.13
"******************************COMPLAINT******************************* PRI OPRAVE ZJISTENO NALOMENE KOLINKO HADICE PODTLAKU 
BRZD ********************************CAUSE********************************* NALOMENE KOLINKO PODTLAKOVE HADICE OD POSILOVACE BRZD - 
OHROZENA SPRAVNA FUNKCNOST BRZDOVEHO SYSTEMU ******************************CORRECTION****************************** VYMENA HADICE",PIPES AND SLEEVES,CRACKED,HOSE,1.0,609.8
"******************************REKL************************************ RASSELGERAEUSCHE BEI MOTORLAUF IM OBEREN 
BEREICH/NOCKELWELLENGEHAEUSE. DIAGNOSE MOTOR EDC. 
ENGINE TEST DURCHGEFUEHRT ********************************GRUND********************************* HYDROSTOESEL HAELT DIE DRUEKCE NICHT ******************************KORRECTUR******************************* HYDROSTOESEL ERNEUERT. DAZU NOCKENWELLENGEHAEUSE 
A+E. IM ANSCHLUSS ENGINE TEST NACH REPARATUR. JETZT NOCH 
GERAEUSCHE IM",ROCKER ARMS COM VALVE,NOISE,ROCKER ARM,52.0,1319.46
"******************************REKL************************************ Motor wird nicht warm ********************************GRUND********************************* Fehlerauslese EDC - Fehlerspeicher auslesen - Motor wird nicht warm 
- maximal 75 Grad unter Leistung ******************************KORRECTUR******************************* Thermostat erneuert - Fahrgestell gereinigt",THERMOSTAT BODY,DEFECT,THERMOSTAT BODY,4.0,233.87
"******************************REKL************************************ SCHIEBETüRE SCHL GT BEIM SCHLIEEN AUF BEIFAHRTüRKANTE 
AUF. ********************************GRUND********************************* FALSCHE MONTAGE/EINSTELLUNG AB WERK. ******************************KORRECTUR******************************* KOMPLETTE SCHIEBETüRE AN ALLEN SCHARNIEREN BZW. 
FüHRUNGEN NEU EINSTELLEN.",VAN SLIDING DOOR,INCORRECT ADJUSTMENT,SLIDING DOOR,0.0,136.5
"******************************RECLAMACAO******************************* Verificar ruido anormal eixo traseiro ********************************CAUSA********************************* APOS ANALISE VERIFICOU-SE GRIPAGEM INTERNA MECANISNO, 
PROVOCANDO DESGASTE PREMATURO NOS TRAVOES ******************************CORRECAO****************************** SUBST, PINàA TRAVAO E KIT TRAVOES E REPARAR GUIAS DA PINCA ; 
SMALLMAT1 = ABRACADEIRAS FIXACAO TUBAGEM E AVISADORES 
TRAVAO",BRAKE CALIPER,SEIZURE,BRAKE CALIPER REMAN,6.0,759.87
"* ******************************SKARGA********************************** KONTROLKA SILNIKA * ********************************CPRZ********************************** NIESPRAWNY CZUJNIK SADZY * ******************************KORECTA********************************* WERYF.USTERKI, DIAG. KOMP., WYM. WYMIANA CZUJNIKA SADZY, JAZDA TESTOWA",PARTICULATE SENSOR,SHORT CIRCUIT,PM SENSOR,1.0,158.374737
"******************************SICAYET********************************* el freni zayıf tutuyor. ********************************NEDEN********************************* yapılan kontrollerde sol arka el fren telinin germe kuvvetinde zayıflık olduğu 
görülmüştür. ******************************YAPILANIS******************************* sol arka el fren teli değiştirilerek arıza giderilmiştir.",REAR CABLE,COLLAPSED,HAND BRAKE CABLE,1.0,12.1536
******************************COMPLAINT******************************* se aude zgomot la cutia de viteze in toate vitezele ********************************CAUSE********************************* arbore cutie viteze defect ******************************CORRECTION****************************** reparat cutie viteze,MAIN SHAFT,DEFECT,MAIN SHAFT,13.7,1140.052954
"******************************REKL************************************ FEHLERMELDUNG LAMBDASONDE ERUIEREN UND BEHEBEN ********************************GRUND********************************* LAMBDASONDE DEFEKT

CONTROL ROOM: 8001845511 ******************************KORRECTUR******************************* DIAGNOSE ERSTELLT
LAMBDASONDE ERNEUERT",OXYGEN SENSOR,DEFECTIVE CONTACTS,SENSOR,1.0,197.69
* ******************************REKL************************************ FAHRZEUG STARTET NICHT/KABEL ZU ANTENNENRING DEFEKT * ********************************GRUND******************************** FAHRZEUG STARTET NICHT/KABEL ZU ANTENNENRING DEFEKT * ******************************KORRECTUR******************************* FEHLEERSUCHE/KABEL ZU ANTENNENRING INSTANDSETZEN,SUPPLEMENT ONBOARD CABLES,DEFECTIVE CONTACTS,TERMINAL,1.0,48.86
"******************************SKARGA********************************** DRGANIA PRZENOSZONE NA NADWOZIE PODCZAS JAZDY OD 
PRĘDKOŚCI OK 90 KM/H ********************************CPRZ********************************** WADA FABRYCZNA WAŁU NAPĘDOWEGO WADLIWY SPAW ŁĄCZĄCY 
WIDEŁKI Z KORPUSEM ******************************KORECTA********************************* WYMIANA WAŁU 
THD 107461797",PROPELLER SHAFTS ASSY,DEFECTIVE WELDING,SLIDING PROP.SHAFT,1.0,1108.174737
******************************Feil************************************ Redusert motor effekt og varsel om adblue ********************************Årsak********************************* Funnet brudd på varmeelementet til adblue slangen ******************************Korreksjon****************************** Byttet til ny slange + prøvekjørt ok nå,PIPES AD-BLUE,BREAK,DELIVERY LINE,2.0,333.78
"******************************COMPLAINT******************************* LACK OF POWER ********************************CAUSE********************************* CONNECT UST & FOUND BOOST PRESSURE FAULT. CHECK & FOUND 
BOOST HOSE SPLIT NEAR THROTTLE BODY. ******************************CORRECTION****************************** REPLACE HOSE & SECURE WITH NEW CLIPS",SLEEVES,CRACKED,RUBBER SLEEVE,4.0,49.244186
******************************COMPLAINT******************************* TRAVEL TIME ********************************CAUSE********************************* DOSSIER NUMBER ******************************CORRECTION****************************** 8001800160,ANS 24 HOURS,MISCELLANEOUS,FRAME WIRING,0.0,46.482759
* ******************************TIPO_DANNO****************************** SPIA ANOMALIA MOTORE RESTA ACCESA * ********************************CAUSA********************************* ROTTURA CONNESSIONE/CABLAGGIO SU SENSOTE TEMPERATURA CATALIZZATORE - VEDI FOTO ALLEGATE * ******************************CORREZIONE****************************** DIAGNOSI + RIC.GUASTO + RIPARAZIONE CONNESSIONE/CABLAGGIO SU SENSOTE TEMPERATURA CATALIZZATORE - VEDI FOTO ALLEGATE,CONNECTIONS,BREAK,TERMINAL,2.0,123.49
* ******************************COMPLAINT******************************* FEHLER AD-BLUE LEUCHTET * ********************************CAUSE********************************* FLANSCHELLE BEF LOSE * ******************************CORRECTION****************************** FLANSCHELLE UND DICHTUNG ERS,SLEEVE COLLARS,LOOSE RETAINER,CLIP,2.0,146.06
******************************COMPLAINT******************************* tractare dosar ANS 8001833661 ********************************CAUSE********************************* tractare dosar ANS 8001833661 ******************************CORRECTION****************************** tractare dosar ANS 8001833661,ANS 24H RECOVERY CHARGE,MISCELLANEOUS,VALVE HOUSING,0.0,435.826772
"******************************SKARGA********************************** nie załącza się PTO, błędy EM ********************************CPRZ********************************** spalone uzwojenie cewki sterowania załączeniem pto ******************************KORECTA********************************* diagnostyka, sprawdzenie instalacji obwodu pto, wymiana cewki",ELECTRICAL ACTUATOR,SHORT CIRCUIT,SWITCHGEAR,1.0,267.178948
"******************************REKL************************************ Rot Warnung
Temperatur ist gestiegen
Kühlmittel in Ordnung ********************************GRUND********************************* Kabel für Lüftersteuerung durchgescheuert, da Kabelführung zu eng verlegt 
ist ******************************KORRECTUR******************************* - zu Pannenfall nach Göschenen gefahren 55km / 6AW
- zurück nach Oberdorf in Werkstatt gefahren 55km / 6AW

- BRD003100 absichtlich 6AW zu viel angegeben, da bei Schaden 
0005434200161 nur maximal 20AW gehen, aber wir 26AW hatten.",ANS 24 HOURS,MISCELLANEOUS,HOOD WIRING,0.0,591.346154
"******************************SKARGA********************************** WYðWIETLA SI­ KONTROLKA SILNIKA - KOMUNIKAT: SPRAWD± SILNIK ********************************CPRZ********************************** USZKODZONY CZUJNIK NOX ZA SCR ******************************KORECTA********************************* DIAGNOSTYKA, TESTY, WYMIANA NOX ZA SCR",NOX DETECTION SENSOR,DEFECT,SENSOR,1.0,295.476509
"******************************COMPLAINT******************************* ROATA FATA DREAPTA BLOCATA ********************************CAUSE********************************* RULMENT DEFECT ******************************CORRECTION****************************** INLOCUIRE RULMENT
LM",FRT AXLE WHEEL HUBS,BLOCKAGE,WHEEL BEARINGS,4.0,258.720473
"******************************reklamace******************************* VOZIDLO SE PŘI JÍZDĚ TŘESE ********************************příč.********************************* NEVYVÁŽENÉ KOLA ******************************oprava********************************** KONTROLA VŠECH KOL A DISKŮ, D-M KOL, PŘEVÁŽENÍ V EXTERNÍ 
OPRAVNĚ, ZKUŠEBNÍ JÍZDA",FRONT WHEELS,OUT OF BALANCE,DISC WHEEL,0.0,17.0
"******************************COMPLAINT******************************* Klepe přední náprava ********************************CAUSE********************************* Klepou čepy horních ramen , uvolněné ******************************CORRECTION****************************** Výměna čepů ramen",SUSP.ARM BALL JOINTS,KNOCKING,BALL JOINT,4.0,182.57
******************************SKARGA********************************** Luzna gorna oslona silnika ********************************CPRZ********************************** Luzne mocowanie gornej oslony silnika ******************************KORECTA********************************* Naprawa mocowania gornej oslony silnika,ROCKER TOP COVER,LOOSE RETAINER,RUBBER PLUG,3.0,21.74944
"******************************COMPLAINT******************************* Vôla riadenia ********************************CAUSE********************************* Nadmerná vôla púzdier spodných ramien ******************************CORRECTION****************************** d-m predných kolies + otočných čapov + spodných ramien + výmena 
púzdier spodných ramien, nastavenie geometrie",RUBBER BUSHES,INCORRECT CLEARANCE,SPRING SLEEVE,4.0,299.65
"******************************COMPLAINT******************************* Instrument cluster indicates failure, engine is overheating. ********************************CAUSE********************************* Defective engine fan control. ******************************CORRECTION****************************** Replaced engine fan control.",FAN,SEIZURE,VENTILATOR CONTRO,1.0,601.54
* ******************************REKL************************************ 105952698 * ********************************GRUND******************************** CAUSEDESCR * ******************************KORRECTUR******************************* CORRECTIONDESCR,CYLINDER HEAD GASKET,DEFECT,ENGINE COMPLETE,1.0,4190.93
******************************RECLAMO******************************* COMPROBAR SENSOR DE PUERTA TRASERA IZQUIERDA ********************************CAUSA********************************* SENSOR DE PUERTA TRASERA EN CORTO ******************************SOLUCION****************************** SUSTITUIR SENSOR,REAR DOOR CONNECTION,BREAK,CONNECTION,1.0,20.34
"******************************REKL************************************ Ad Blue Anlage Fehleranzeige im Display, Leistungsreduzierung ********************************GRUND********************************* Leitung vom Ad Blue Pumpenmodul zu Pumpenmodul zum Dosierer 
geplatzt, undicht ******************************KORRECTUR******************************* Diagnose, Leitung ersetzt",PIPES AD-BLUE,BREAK,DELIVERY LINE,1.0,168.62
"* ******************************REKL************************************ FAHRZEUG LAESST SICH UEBER FUNK NICHT OEFFNEN UND MIT ZUENDSCHLUESSEL NICHT STARTEN * ********************************GRUND******************************** ZUENDSCHLUESSEL IST DEFEKT, MUSS ERNEUERT WERDEN * ******************************KORRECTUR******************************* ZUENDSCHLUESSEL ERNEUERT UND MITTELS TELESERVICE NEU PROGRAMIERT",IGNITION KEY,DEFECT,TOOLS OF IGNITION,1.0,125.21
"******************************INCIDENT******************************** temoin asr - abs + bruit roue avant gauche ********************************CAUSE********************************* placer aesy - panne capteur abs avg - controler et constater roulement hs et 
a endomage le moyeu et le capteur ******************************SOLUTION******************************** remplacer roulement + moyeu avant gauche + capteur abs avg",BEARINGS,LOOSE RETAINER,FRONT WHEEL HUB,8.0,905.57
"******************************COMPLAINT******************************* Customer complaint about front bumper rattling while driving ********************************CAUSE********************************* Broken right and left outter bumper brackets and left and right middle 
bumper retainers. ******************************CORRECTION****************************** Replaced broken bumper brackets and added tie rods on both sides.","BUMPER RETAINERS,BRACKETS",DEFECT,RETAINER,10.0,519.11
"******************************Klgomål******************************** VARNINGSLAMPOR LYSER ********************************Orsak********************************* VID UTKÖRNING BÖRJADE ABSLAMPA LYSA, KONTROLL 
FELKODER, U102F/U1033 INDIKERAR ABSGIVARE VÄNSTER FRAM 
SIGNALFEL, BYTE ABSGIVARE VÄNSTER FRAM, KONTROLL 
FELKODER, FELKODER KVARSTÅR, VIDARE FELSÖKNING SAMT 
UPPSTART THD ASIST REQUEST NO: 106298913, DE/MO 
KABELHÄRVA FÖR KONTROLL, KONTROLL PARAMETRAR SAMT 
UPPMÄTNING KABLAGE/KONTAKTER ******************************Ändring********************************* KONSTATERAT DEFEKTA 
STIFT I KONTAKTSTYCKE, BYTE STIFT SAMT ÅTERMONTERING 
DEMONTERADE DELAR, RADERING FELKODER, PROVKÖRNING 
SAMT FUNKTIONSKONTROLL UTAN ANMÄRKNING",CHASSIS LOOM,BREAK,SENSOR,11.0,778.97
"******************************REKL************************************ ANFAHRT ZUM STANDORT LAUCHA (FA SOMMER), 
EXTRA LABOUR = 48 KM, ********************************GRUND********************************* ANFAHRT ZUM STANDORT LAUCHA (FA SOMMER), 
EXTRA LABOUR = 48 KM, ******************************KORRECTUR******************************* ANFAHRT ZUM STANDORT LAUCHA (FA SOMMER), 
EXTRA LABOUR = 48 KM,",ANS 24 HOURS,MISCELLANEOUS,BALL JOINT,0.0,108.0
* ******************************REKL************************************ FEHLERMEDLUNGEN IM CLUSTER * ********************************GRUND******************************** INTERNER SCHADEN AN SOFTWARE. * ******************************KORRECTUR******************************* FEHLERSUCHE AN CLUSTER UND SYSTEMDIAGNOSE MIT EASY. SOFTWARE NEU AUFGESPIELT,INDICATORS INSTRUMENT,DEFECTIVE CONTACTS,CLUSTER,0.0,143.4
"* ******************************TIPO_DANNO****************************** DOSSIER 8001881905 SI E' SPENTO IN MARCIA + SPIA EDC ACCESA * ********************************CAUSA********************************* DOSSIER 8001881905 DISTACCO/SFILAMENTO FASCETTA MANICOTTO INTERCOOLER * ******************************CORREZIONE****************************** DOSSIER 8001881905 VEICOLO ARRIVATO AL TRAINO IN OFF.NA PER VERIFICA GUASTO, RIPRISTINO POSIZIONAMENTO MANICOTTO INTERCOOLER E FISSA GGIO",SLEEVE COLLARS,BROKEN AWAY,CLIP,1.0,26.5
******************************SKARGA********************************** Kontrolka Ad Blue ********************************CPRZ********************************** ZWARCIE W ZAWORZE TVA ******************************KORECTA********************************* WYMIANA KORPUSU ZAWORU,THROTTLE BODY,SHORT CIRCUIT,VALVE HOUSING,1.0,205.345263
"* ******************************REKL************************************ Hecktuer laesst sich nicht verschliessen * ********************************GRUND******************************** Schloss blockiert mechanisch * ******************************KORRECTUR******************************* befunden, UDT, diagnose Body, el. System pruefen, Verkleidung ab-anbauen, Hecktuerschloss aus-einbauen, erneuern, Tuer einstellen",LOCKS,DEFECTIVE CLOSURE/OPENING,DOOR LOCK,1.0,202.89
"******************************REKL************************************ PANNENFALL FZ STARTET NICHT - 079 874 02 72 - - MOTOR 
DREHT ********************************GRUND********************************* Batteriesensor Fehlerhaft ******************************KORRECTUR******************************* Distanz zu Pannenort 30min 35km ein weg - Von Auto AG 
Rothenburg bis Weggis",ANS 24 HOURS,MISCELLANEOUS,SENSOR,0.0,337.837838
"******************************COMPLAINT******************************* EPB and other warning light on cluster. 
DTC on EPB switch appeared repetitively. ********************************CAUSE********************************* EPB switch malfunction intermittently causing warning light on ******************************CORRECTION****************************** Replace EPB switch to remedy problem",PARKING BRAKE BUTTON,DEFECTIVE CONTACTS,SWITCH,1.0,55.83
"******************************REKL************************************ Vibrationen beim anfahren und im Fahrt in niedrigen Drehzahlbereich . ********************************GRUND********************************* Gelenkwellen falsch montiert.
 ******************************KORRECTUR******************************* Probefahrt gemacht, Gelenkwellen überprüft , 1. Gelenkwellenlager neue 
positioniert , dazu Unterlegplatte geändert .",PROPELLER SHAFTS ASSY,OUT OF BALANCE,PROP.SHAFT CARRIER,0.0,132.0
"******************************REKL************************************ Pannenfall in Wöllstein in der Rohrgewann 25 ********************************GRUND********************************* Motorfehler wird angezeigt und Fahrzeug hat Flüssigkeitsverlust
Kühlmittelschlauch ist undicht ******************************KORRECTUR******************************* Montagefahrt nach Wöllstein durchgeführt, 62 Gesamt-km inkl. ET-
Beschaffung",ANS 24 HOURS,DOWNTIME,HEATING TUBE,0.0,244.84
* ******************************REKL************************************ Hecktuerschaniere knacken und oeffnet schwer * ********************************GRUND******************************** Verrostet * ******************************KORRECTUR******************************* Hecktuerschaniere a+gereinigt+gangbar gemacht+gefettet+e,HINGES,CORROSION/OXIDATION/PITS,DOOR HINGE,1.0,302.95
******************************SKARGA********************************** HOLOWANIE POJAZDU ********************************CPRZ********************************** HOLOWANIE POJAZDU ******************************KORECTA********************************* HOLOWANIE POJAZDU,ANS 24H RECOVERY CHARGE,MISCELLANEOUS,FLEXIBLE CONTROL,0.0,335.57047
"******************************INCIDENT******************************** Boîte de vitesses en panne ********************************CAUSE********************************* tuyau de refroidissement de l'huile desserti côté échangeur ******************************SOLUTION******************************** recherche panne bv, réparation provisoire du tuyau, remettre de l'huile, lavage sous châssis, essai, contrôle niveau huile bv",OIL LINE TO HEAT XCHANGER,BREAK,HYDRAULIC LINE,5.5,301.198198
