Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Label_1,Label_2,Label_3,Label_4,Label_5,Score_1,Score_2,Score_3,Score_4,Score_5
CHASSIS LOOM,DEFECTIVE CONTACTS,WIRE/CABLE,10.0,126.647454,"COMPLAIN  fault lights on CAUSE  electrical fault on contact in trailer connector on wiring harness  CORRECTION diagnosis with UDT, wiring harness replaced and error deleted",Defective Component,Type of Failure,Defective Part,Number of Parts Replaced,Material Failure,0.19729064404964447,0.18922880291938782,0.17421163618564606,0.1664177030324936,0.10542904585599899
STEERING SHAFT,SEIZURE,STEERING SPINDLE,0.0,60.302013, COMPLAINT  Noise when turning the steering wheel   CPRZ Seized friction surfaces of moving parts of the steering column   CORRECTION  Restoring the smooth operation of the friction surfaces of the moving elements of the steering column,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.2192775309085846,0.20238249003887177,0.1871427595615387,0.1185024082660675,0.09620355814695358
RADIATOR SLEEVES,DEFORMED,RUBBER SLEEVE,1.0,53.521053,"TEMPERATURE  vehicle is leaking water WHY  During the checks, the radiator hose of the vehicle 
It was determined that fluid was leaking as a result of deformation. PROCEDURE  vehicle's radiator hose was changed and the problem was resolved",Defective Component,Number of Parts Replaced,Type of Failure,Defective Part,Material Failure,0.1800375133752823,0.17258405685424805,0.16729477047920227,0.15368810296058655,0.13184091448783875
ELECTRIC FAN MOTOR,SHORT CIRCUIT,ELECTROFAN,1.0,214.8625,"COMPLAINT A/C FAN NOT BLOWING CAUSE INTERNAL SHORT OF ELECTROFAN CORRECTION PLUG IN EASY AND READ AC FAULT CODES. FOUND 66 
OCCURANCES OF ELECTROFAN CONTROL - CIRCUIT VOLTAGE 
BELOW NORMAL. REMOVE GLOVE BOX PANEL TO ACCESS 
BLOWER FAN AND CHECK ALL CONNECTIONS ON ELECTROFAN 
OK. INSPECT ELECTROFAN CONNECTOR AND FOUND 
CONNECTION TO CIRCUIT BOARD LOOSE CAUSING A SHORT
CIRCUIT IN ELECTROFAN ASSEMBLY. REPLACE ELECTROFAN 
ASSEMBLY AND REFIT ALL PANELS TAKEN OFF. TEST OK.",Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,Total Cost Incurred,0.14785082638263702,0.1449708491563797,0.13086393475532532,0.1241845041513443,0.11651202291250229
ENG HOOD WIRING HARNESS,BREAK,HOOD WIRING,2.0,71.451902," COMPLAINT  The coolant temperature reached the maximum level on the IC twice   CPRZ No power to the radiator fan, power supply harness frayed against the engine support.  CORRECTION  Soldering and securing the broken harness.",Type of Failure,Defective Component,Defective Part,Material Failure,Number of Parts Replaced,0.2050570547580719,0.17742347717285156,0.1513575315475464,0.14469918608665466,0.13416941463947296
CHASSIS LOOM,SHORT CIRCUIT,SET OF WIRING,1.0,124.494253, COMPLAINT STOP START INOP  CAUSE LOOM TO BRAKE PEDAL SHORT CIRCUIT  CORRECTION INVESITGATE FAULT. TRACE AND REAPR LOOM. REBUILD AND CHECK OPERATION,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.22546546161174774,0.18119139969348907,0.1616796851158142,0.13234324753284454,0.12278175354003906
HEADLAMP ASSY,BLOCKAGE,HEADLIGHT,4.0,260.572631, COMPLAINT  UNABLE TO ADJUST THE LEFT FRONT LAMP   CPRZ left lamp adjustment mechanism blocked   CORRECTION  lamp replacement,Defective Component,Type of Failure,Defective Part,Number of Parts Replaced,Material Failure,0.206437349319458,0.19483424723148346,0.19399391114711761,0.11773072183132172,0.10864952951669693
MARKER LIGHTS,WATER INFILTRATION,SIDE LIGHT,1.0,31.76, DAMAGE TYPE  WATER INFILTRATION HEADLIGHT ABOVE CABIN LEFT SIDE   CAUSE HEATING. INF. INTERNAL WATER INPUT LIGHT FRONT SX  CORRECTION  SUB.,Type of Failure,Defective Component,Defective Part,Material Failure,Number of Parts Replaced,0.2340661734342575,0.22717449069023132,0.2180643528699875,0.12347686290740967,0.07627833634614944
EGR VALVE,SHORT CIRCUIT,SET OF WIRING,0.0,211.6,"REKL  Vehicle was towed in by ADAC, checked and repaired  REASON Short circuit in the EGR wiring harness  CORRECTION  Diagnosis carried out with tester, cable harness exposed and 
measured, short circuit detected, short circuit eliminated, error 
remains, according to the customer, he leaves the repair in the home workshop 
carry out. Rep discontinued, according to information from Massimo from Jawla it should 
Work can be entered here as a claim and billed",Type of Failure,Defective Part,Defective Component,Material Failure,Number of Parts Replaced,0.19088035821914673,0.17418886721134186,0.1593044400215149,0.1542443484067917,0.10792895406484604
REAR LIGHT,WATER INFILTRATION,TAIL LAMP,1.0,208.12,"COMPLAINT  INSPECTION REAR LIGHT LEFT  CAUSE TAIL LIGHT IS FULL OF WATER
CHECK FOR POSSIBLE DAMAGE - NO DAMAGE PRESENT CORRECTION  REPLACING TAIL LIGHT",Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.1869785338640213,0.168492391705513,0.1478705257177353,0.14718258380889893,0.12281456589698792
SLEEVES,CRACKED,RUBBER SLEEVE,1.0,199.9,REKL  Intercooler hose defective  REASON Hose torn  CORRECTION Replace hose,Defective Part,Defective Component,Type of Failure,Material Failure,Number of Parts Replaced,0.29575085639953613,0.293525367975235,0.14863702654838562,0.09833206981420517,0.07699307799339294
AD-BLUE UNIT PUMP MODULE,BLOCKAGE,PUMP,0.0,214.56,"REKL  Engine check on again - poor performance error 0016D0  REASON AD-Blue pump malfunction -  CORRECTION  Diagnosis EDC - Testing AD-Blue system with guided procedure 
0016D0 - no error detected - memory cleared according to procedure - 
extensive test drive, final mileage 2951km - none 
More error messages",Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.24144203960895538,0.17946210503578186,0.15319932997226715,0.12672175467014313,0.09853015840053558
CAB LOOM,DEFECT,DASHBOARD WIRING,1.0,58.15,"COMPLAINT  TIPPER NO LONGER WORKING  CAUSE BAD CONTACT SURFACE PLUG  CORRECTION DIAGNOSIS; CHECK WIRING & FUSES; 
REPLACE DEFECTIVE FUSE(-SMALLMAT1); BAD 
CONTACT IN SURFACE PLUG RESTORED; AFTER CHECK; --> 
EVERYTHING IS OKAY",Defective Component,Number of Parts Replaced,Defective Part,Type of Failure,Material Failure,0.19453318417072296,0.17258316278457642,0.16459476947784424,0.1589147448539734,0.1047443374991417
ANS 24 HOURS,MISCELLANEOUS,O-RING,0.0,573.3, REKL  EXTERNAL INSTALLATION IN MOSBACH - DOSSIER 8001735964   REASON OUTDOOR INSTALLATION IN MOSBACH - DOSSIER 8001735964   CORRECTION  OUTDOOR INSTALLATION IN MOSBACH - DOSSIER 8001735964,Type of Failure,Number of Parts Replaced,Defective Part,Defective Component,Material Failure,0.1719171702861786,0.16957801580429077,0.1206340342760086,0.1169009655714035,0.11399730294942856
EGR VALVE,DEFECTIVE CONTACTS,EGR VALVE,0.0,139.23,"INCIDENT  LIGHT ON - LOSS OF POWER  CAUSE PB EGR VALVE CONNECTION  SOLUTION  UDT PASSAGE - ADBLUE-CONTROL HARNESS TEST 
EGR VALVE - REFURBISHED CONNECTION",Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.25066107511520386,0.17371085286140442,0.16355805099010468,0.12692345678806305,0.10205654054880142
CAB DOORS,LOW OUTPUT/EFFICIENCY,RUBBER GASKET,0.0,101.5,"INCIDENT  left door air inlet control 
remove the door 
replace the seal 
refit the door and adjust CAUSE  left door air inlet control 
remove the door 
replace the seal 
refit the door and adjust SOLUTION  Left door air inlet control 
remove the door 
replace the seal 
refit the door and adjust",Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Total Cost Incurred,0.19144859910011292,0.17365141212940216,0.15954899787902832,0.1493280529975891,0.10490797460079193
TACHOGRAPH,DEFECT,TACHOGRAPH,1.0,87.345263,COMPLAINT  discrepancy between the mileage readings on the tachograph and the counter - 14km difference  CPRZ software error CORRECTION  software update and tachograph calibration - the mileage is correct on both devices,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.24547412991523743,0.1776232272386551,0.13513652980327606,0.1312568634748459,0.09746675193309784
BATTERY,DEFECTIVE CONTACTS,BATTERY,2.0,327.38, INCIDENT  DOES NOT START   CAUSE CON TROLE OF MASEES AND CONNECTION. ELECTROLYTE DENSITY CONTROL. ALTERNATOR CHARGE CHECK AND BATTERY TEST. DEFECTIVE BATTERY CONTACT  SOLUTION  BATTERY REPLACEMENT,Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.28467702865600586,0.16864143311977386,0.15887145698070526,0.12903933227062225,0.10115540772676468
BUZZERS,SHORT CIRCUIT,INDICATOR,1.0,54.91,COMPLAIN  REVERSE BEEP DOESN'T WORK CAUSE  DEFECTIVE HOOK  CORRECTION REPLACEMENT OF REVERSE HOOK,Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.32733556628227234,0.18173569440841675,0.1431305706501007,0.09248087555170059,0.0892195776104927
SLEEVES,CRACKED,RUBBER SLEEVE,2.0,111.101053,COMPLAINT  Hissing when applying gas  CPRZ Automatic rupture of the cable between the turbine and the intercooler  CORRECTION  Replacing the cable between the turbine and the intercooler,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.2545965313911438,0.1626657098531723,0.15194673836231232,0.14951679110527039,0.13447654247283936
BRAKE CALIPER GUIDING PIN,BLOCKAGE,KIT-BRAKE CALIPER,1.0,75.248421,"COMPLAINT  THE LEFT FRONT WHEEL IS GETTING HOT  CPRZ LOCKED, CORRODED LEFT GUIDE RAILS 
CLAMP CORRECTION  REPLACEMENT OF GUIDES",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.19429512321949005,0.19065271317958832,0.17276553809642792,0.15546366572380066,0.12660624086856842
CRANKSHAFT,OIL LEAKS,EXH. MANIFOLD GKT,1.0,506.35,"INCIDENT  driver reports loss of fluid in vehicle
 CAUSE  pilot bearing oil loss  SOLUTION replacement 

ECONOMY: exterior cleaning of the engine",Type of Failure,Defective Component,Number of Parts Replaced,Material Failure,Defective Part,0.23251046240329742,0.15406745672225952,0.14759561419487,0.1367906928062439,0.12091682106256485
ANS 24 HOURS,MISCELLANEOUS,EARTH WIRE,0.0,324.774775,"INCIDENT  The engine will not start. CAUSE  The vehicle is at the Cornaux fish farm, in Montreux. SOLUTION  Customer assistance at the scene of the breakdown.",Type of Failure,Defective Component,Material Failure,Defective Part,Human Error,0.25607386231422424,0.17236603796482086,0.16196118295192719,0.15281984210014343,0.07351900637149811
CROWN WHEEL AND PINION,DEFECTIVE CASTINGS/DIE,BEVEL DRIVE,37.99,1853.626399,"COMPLAINT  NOISY BRIDGE OPERATION, DEFECTIVE MECHANISM CASTING 
IT GENERATED SPOTS AND WEAR, REPAIR OF THE MECHANISM CPRZ  NOISY BRIDGE OPERATION, DEFECTIVE CASTING OF THE MECHANISM 
IT GENERATED SPOTS AND WEAR, REPAIR OF THE MECHANISM CORRECTION  THE BRIDGE IS NOISY, DEFECTIVE CASTING OF THE MECHANISM 
IT GENERATED SPRAYING AND WEAR, REPAIRING THE MECHANISM",Defective Component,Defective Part,Type of Failure,Design Flaw,Material Failure,0.1340882033109665,0.13365411758422852,0.12910495698451996,0.12435109168291092,0.1220891997218132
REAR CABLE,TOO RIGID,HAND BRAKE CABLE,1.0,35.79,COMPLAINT Non functional handbrake. CAUSE Defective right rear handbrake rope. CORRECTION Replacement right handbrake rope.,Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.341261088848114,0.22156751155853271,0.153549462556839,0.09681697189807892,0.08411166816949844
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,KITAS SENSOR,0.0,383.72093,COMPLAINT RECOVER TO WORKSHOP CAUSE DOSSIER NUMBER CORRECTION 8001719831,Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,Total Cost Incurred,0.21774858236312866,0.21404920518398285,0.152701273560524,0.1379506140947342,0.08389170467853546
CONNECTIONS,DEFECT,SET OF WIRING,0.0,291.0, INCIDENT  CENTRALIZATION DOES NOT WORK AT TIMES   CAUSE SHORT CIRCUIT DUE TO CUT WIRE ON CHASSIS HARNESS   SOLUTION  CHECKING AND REHABILITATION OF THE HARNESS,Type of Failure,Defective Component,Number of Parts Replaced,Material Failure,Defective Part,0.19015179574489594,0.1604626625776291,0.14306817948818207,0.13006657361984253,0.1230851262807846
DOOR CONN. FIXED PART,DEFECTIVE CONTACTS,SLIDING CONTACT,2.0,225.45,REKL  Central locking temporarily not working  REASON Damaged contacts on the door contact switch of the sliding door  CORRECTION  Door contact switch on the sliding door replaced after testing,Number of Parts Replaced,Type of Failure,Defective Component,Material Failure,Defective Part,0.21158695220947266,0.19479812681674957,0.16344159841537476,0.13722708821296692,0.13512414693832397
HOSES,CRACKED,O-RING,2.0,154.45, DAMAGE TYPE  AIR CONDITIONING DOES NOT WORK  CAUSE  HEATING GASKET PIPING A/C CRET.  CORRECTION  SUB.,Type of Failure,Defective Component,Defective Part,Material Failure,Number of Parts Replaced,0.2750105559825897,0.16217830777168274,0.15394066274166107,0.13127018511295319,0.10443676263093948
CRANKSHAFT REAR SEAL,DEFORMED,SHAFT SEAL,16.5,907.25,"REKL  Engine oil under the vehicle.
Error message engine oil level too low.
Engine heavily oiled. REASON  Rear crankshaft seal defective, deformed. CORRECTION  Gearbox a-e, 
Shaft seal replaced.
Engine oil level checked and oil added,
Engine compartment cleaned",Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.24196061491966248,0.21512825787067413,0.17695626616477966,0.12801361083984375,0.10352730005979538
SHOCK ABSORBERS FRT AXLE,BREAK,SHOCK ABSORBER,1.0,45.79,"COMPLAINT Noise from the front side. CAUSE The problem is due to spoiled upper lug of the front right shock 
absorber. See the attached picture. CORRECTION The front right shock absorber is for replacement.",Defective Component,Type of Failure,Defective Part,Material Failure,Number of Parts Replaced,0.19629916548728943,0.17735034227371216,0.17191389203071594,0.15887920558452606,0.11556192487478256
AIR CONDITIONER,LEVEL INCORRECT,AIR CONDITIONER,0.0,121.425,"COMPLAINT Check & report AC not cold CAUSE No gas in system CORRECTION Checked & confirmed air con not cold
Connected machine & carried out vacuum test
No pressure.
Filled system with gas. 410 grams
Carried out pressure test & found no leaks",Type of Failure,Defective Component,Defective Part,Material Failure,Number of Parts Replaced,0.2335592359304428,0.17592641711235046,0.14042098820209503,0.1343660205602646,0.108631931245327
AD-BLUE METERING DEV MODU,LOW OUTPUT/EFFICIENCY,NOZZLE,0.0,89.92,"CLAIM  engine fault warning light in panel CAUSE  FAULT DIAGNOSIS  SOLUTION FOLLOW GUIDED STEPS. DELETING FAULTS.TEST 
ROAD",Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.20113398134708405,0.19053196907043457,0.1426583081483841,0.13823337852954865,0.10403110086917877
SEAL RING,SEIZURE,WHEEL HUB SET,2.0,155.61745," COMPLAINT  MAIN HUB BEARING FRONT RIGHT SIDE   CPRZ WORN REARWAY HUB BEARINGS  CORRECTION  REPLACEMENT OF WHEEL HUB WITH BEARING BEARING, FRONT RIGHT SIDE",Number of Parts Replaced,Defective Component,Type of Failure,Defective Part,Material Failure,0.17438505589962006,0.16138188540935516,0.15645989775657654,0.15216568112373352,0.11136887222528458
COURTESY LIGHT SWITCH,DEFECTIVE CONTACTS,CONNECTION,1.0,57.94, DAMAGE TYPE  SIDE DOOR FAILURE TO CLOSE LIGHT WHILE RUNNING   CAUSE DEFECTIVE CONNECTION CONTACTS SWITCH   CORRECTION  CHECK FAULT - CHECK ELECTRICAL SYSTEM - COURTESY LIGHT SWITCH FOUND AND REPLACED FAULT - DOOR CLOSURE CHECK,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.38377901911735535,0.22374682128429413,0.15001876652240753,0.07890515774488449,0.07018565386533737
EGR HEAT EXCHANGER,BLOCKAGE,HEAT EXCHANGER,7.0,679.03,"REKL  Sporadic error message Check engine light
IANS Dossier: 8001650304
Vehicle came to the workshop independently REASON  EGR heat exchanger internal error/blocked/stuck  CORRECTION EGR heat exchanger replaced
-ECONOMY: Extended functional run carried out, EGR parameter 
read/checked.
769110BEF: Plug, EGR wiring checked.",Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,Material Failure,0.23684921860694885,0.19982996582984924,0.14903585612773895,0.12768793106079102,0.09309478849172592
TACHOGRAPH,LOW OUTPUT/EFFICIENCY,TACHOGRAPH,3.0,900.954024,"COMPLAINT MULTIPLE WARNING LIGHTS ON DASH CAUSE INTERNAL FAILURE OF TACHOGRAPH ASSEMBLY. TACHO SENDER 
REPLACED AND PAIRED TO TACHO AS REQUIRED BY LAW CORRECTION REPLACE TACHO AND SENDER. LOOM CODE USED FOR TRACE 
AND 
CHECK TACHO SYSTEM WIRING. ECONOMY TIME USED AS NO 
SRT 
CODE AVAILABLE FOR CAR RY OUT EXTENDED ROAD TESTS TO 
REPLICATE REPORTED FAILURES. SMALL MATERIAL CODE USED 
FOR TACHO SEAL AND ROLLING ROAD TESTER",Material Failure,Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,0.19816361367702484,0.13639171421527863,0.12873128056526184,0.11403337866067886,0.10975637286901474
FRT AXLE WHEEL HUBS,TOO LOOSE/FLEXIBLE,WHEEL HUB SET,2.0,197.254738,COMPLAINT  Noise while driving front  CPRZ play in wheel bearing no.  CORRECTION  in/with wheel bearing,Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,Material Failure,0.26116943359375,0.19346021115779877,0.14008893072605133,0.13478799164295197,0.08926443755626678
SPRING CASINGS,DEFECT,AIR BELLOWS,1.0,162.429736," COMPLAINT  Checked the suspension system, it does not rise on the right rear  CAUSE Defective rear airbag  CORRECTION  Air cushion replaced",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.3510056734085083,0.25920477509498596,0.12175802141427994,0.09460549056529999,0.0731828361749649
WHEEL RIM,DEFECT,DISC WHEEL,4.0,507.555791," COMPLAINT  VIBRATIONS/NOISE FROM THE SECOND AXIS, ESPECIALLY ABOVE THE SPEED OF 90 km/h   CPRZ DEFORMED RIMS - NO EXTERNAL DAMAGE  CORRECTION  REPLACEMENT OF RIMS, TEST RIDE",Defective Component,Type of Failure,Material Failure,Defective Part,Number of Parts Replaced,0.19370868802070618,0.162354975938797,0.1378786712884903,0.13636411726474762,0.13202890753746033
PTO ASSY,INCORRECT ADJUSTMENT,POWER TAKE OFF,0.0,182.9, REKL  PTO keeps falling out PTO was set incorrectly at the factory   REASON Incorrect setting of the power take-off (programming )  CORRECTION  Power take-off reprogrammed,Type of Failure,Defective Part,Defective Component,Number of Parts Replaced,Material Failure,0.20274069905281067,0.16413292288780212,0.16006134450435638,0.13924336433410645,0.11188583076000214
POWER BRAKE HYD.CYLINDER,DEFORMED,KIT-SERVOBRAKES,1.0,111.531579,"TEMPERATURE  IT DOES NOT STOP WHEN PRESSING THE BRAKE WHY  FEN MAIN CENTER PISTON SEALING IN CONTROLS 
IT WAS OBSERVED THAT ITS ELEMENT WAS DEFORMED. PROCEDURE  BRAKE MAIN CENTER WAS CHANGED.",Defective Component,Type of Failure,Material Failure,Defective Part,Number of Parts Replaced,0.1716284453868866,0.16908207535743713,0.1533316671848297,0.1416722685098648,0.0984983742237091
CONNECTING SLEEVES,CRACKED,FLEXIBLE COUPLING,1.0,169.748299,COMPLAINT EXHAUST LEAK EVIDENT CAUSE CRACKED FLEX PIPE CORRECTION REMOVE AND REPLACED EXHAUST FLEX PIPE.,Type of Failure,Defective Component,Number of Parts Replaced,Defective Part,Material Failure,0.20083090662956238,0.17492397129535675,0.16864243149757385,0.16606010496616364,0.12015552818775177
ANS 24H RECOVERY CHARGE,DEFECT,V-BELT,0.0,160.0,COMPLAINT Vehicle towing. CAUSE Vehicle towing. CORRECTION Vehicle towing.,Type of Failure,Defective Component,Material Failure,Defective Part,Number of Parts Replaced,0.28932273387908936,0.14853142201900482,0.12393220514059067,0.11825960129499435,0.09913954883813858
AIR BAG CONTROL UNIT,DEFECTIVE CONTACTS,ECU-AIR BAG,0.0,117.0,"INCIDENT  AIBAG LIGHT ON CAUSE  FAULTY CENTRAL AIRBAG CONTACT  SOLUTION PREPARATION U.D.T.DIAGNOSTIC STATION AIR SYSTEM-
BAG - EXCEPT PREPARATION STATIONSEXCEPT PREPARATION 
STATIONCONT.VISUAL 
ELECTRICAL INST. FUNCTION CENTRAL REPLACEMENT 
AIR BAG CONTROL EFFICIENT CABLE CAPACITY 
MASSCONTR.EFFIC. CONTACTS CONNECTED 
ELECTRICAL INSTALLATION READING FAULT MEMORY AND 
DELETION - EXCEPT STATI PREPARATION EXCEPT 
STATION PREPARATION",Type of Failure,Defective Component,Total Cost Incurred,Defective Part,Number of Parts Replaced,0.14368943870067596,0.13269664347171783,0.1315140575170517,0.1286933422088623,0.12832021713256836
FAN,SHORT CIRCUIT,VENTILATOR CONTRO,1.0,56.45,"COMPLAIN  Engine overheats to 120 degrees Celsius  CAUSE Fault check - el. diagnosis, broken cooling fan fuse  CORRECTION  Cooling fan fuse replacement",Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.25344619154930115,0.18241898715496063,0.17501050233840942,0.15075567364692688,0.10210274159908295
RADIO,DEFECT,MONITOR,1.0,844.31,"CLAIM  AUDIO EQUIPMENT STOPS CAUSE  SCREEN DEFECT  SOLUTION PREPARATION OF THE U.D.T. STATION. RADIO DIAGNOSIS 
D-M RADIO INST. CABIN ELECTRICAL",Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.28443005681037903,0.18259115517139435,0.16954481601715088,0.1368444710969925,0.07820731401443481
ANS 24 HOURS,MISCELLANEOUS,BATTERY,0.0,37.65,"REKL  The vehicle is at Hardy Schmitz, Karmannstr.1, Rheine and jumps 
not on. 
 REASON  Battery defective CORRECTION  Drive from Baarentelgenstr. 17 Rheine to the breakdown site and 
Fault diagnosis determined on site, vehicle started externally.",Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.2634313106536865,0.18805557489395142,0.16325470805168152,0.14027640223503113,0.0868867039680481
LOCK,DEFECTIVE CLOSURE/OPENING,DOOR LOCK,1.0,30.9624,"TEMPERATURE  Arca's middle door remains open  WHY During the checks, the door of the vehicle remains open intermittently and the lock does not function properly. 
DOING  lock changed",Type of Failure,Defective Component,Number of Parts Replaced,Defective Part,Material Failure,0.18132208287715912,0.17066945135593414,0.16063430905342102,0.15473677217960358,0.10660651326179504
PARTICULATE TRAP,BLOCKAGE,CATALYTIC SILENCER,0.0,51.418347, COMPLAINT  VERIFICATION (ðSI ENGINE LIGHT IS ON)   CPRZ BLOCKED DPF FILTER THD 106397174   CORRECTION  FORCED REGENERATION OF PARTICULATE FILTER THD 106397174,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.2293272465467453,0.19263845682144165,0.16428278386592865,0.1478659063577652,0.10028745234012604
EGR VALVE,DEFECT,EGR VALVE,1.0,293.572632,"COMPLAINT  ADBLUE LED IS FLASHING + NO POWER  CPRZ EGR VALVE DAMAGE  CORRECTION  DEFECT VERIFICATION ACCORDING TO JAWLA PROCEDURE, REPLACEMENT 
EGR VALVE",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.3124264180660248,0.24665141105651855,0.13927973806858063,0.13532942533493042,0.06539136916399002
BEARINGS,DEFECT,WHEEL BEARINGS,2.0,302.156462,"COMPLAINT CHECK REAR WHEEL BEARINGS CAUSE WHEEL BEARINGS SHOWING SIGNS OF PREMATURE WEAR. CORRECTION CARRIED OUT REPLACEMENT OF THE REAR WHEEL BEARINGS
LEASEPLAN HAVE REQ THIS BE SUBMITTED FOR WARRANTY.",Defective Component,Type of Failure,Defective Part,Number of Parts Replaced,Material Failure,0.19061721861362457,0.18824803829193115,0.13831326365470886,0.12155596166849136,0.11428173631429672
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,ECU-ENGINE,0.0,150.0, DAMAGE TYPE  DOSSIER 8001739980 REFUND FOR TOWING INVOICE. 681 OF 05.25.2022 AUTO 4servizi SRL EURO 150.00 + VAT  REASON  DOSSIER 8001739980 REFUND FOR TOWING INVOICE. 681 OF 05.25.2022 AUTO 4servizi SRL EURO 150.00 + VAT  CORRECTION  DOSSIER 8001739980 REFUND FOR TOWING INVOICE. 681 OF 05.25.2022 AUTO 4servizi SRL EURO 150.00 + VAT,Type of Failure,Defective Component,Defective Part,Material Failure,Number of Parts Replaced,0.1810983419418335,0.1497299075126648,0.13843578100204468,0.1336325705051422,0.12813910841941833
TYRE PRESSURE ECU,NO WARNING,ELECTR. CONTR. UNIT,1.0,161.91,"REKL  FAULT INDICATOR TIRE PRESSURE INDICATOR  REASON FAULT TIRE PRESSURE INDICATOR ECU ELECTRONICS SOFTWARE  CORRECTION  DIAGNOSTIC WORK TELESERVICE DATA SET ECU 
RENEW",Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.31147438287734985,0.1515621691942215,0.13846468925476074,0.13402090966701508,0.09776820987462997
HINGES,BLOCKAGE,DOOR HINGE,2.0,529.18, REKL  REAR DOOR RIGHT DOES NOT CLOSE PROPERLY   REASON DOOR HINGES FIXED   CORRECTION  BOTH RIGHT REAR DOOR HINGES REPLACED,Number of Parts Replaced,Type of Failure,Defective Part,Defective Component,Material Failure,0.1792106181383133,0.1724146157503128,0.1312967836856842,0.1287619024515152,0.12046512216329575
SLEEVES,COLLAPSED,RUBBER SLEEVE,0.0,112.244898,"COMPLAINT whistle noise coming from engine bay CAUSE material failure in turbo pipe from turbo to intercooler CORRECTION checked hose found multiple cracks replaced hose and road tested 
all 
good 
Used extra labour as below
check and find cracks in intercooler hose 5 units
road test after repairs 6 units",Material Failure,Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,0.4848974347114563,0.19086827337741852,0.08179915696382523,0.0696418508887291,0.06726078689098358
STARTER MOTOR ASSY,DEFECTIVE CONTACTS,STARTER MOTOR,1.0,137.941834, COMPLAINT  CAR STARTS HARD ON A WARM ENGINE   CPRZ INTERNAL DAMAGE TO THE STARTER - BAD ELECTRICAL CONDUCTION   CORRECTION  STARTER REPLACEMENT,Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.18919412791728973,0.17753559350967407,0.1666083037853241,0.16067132353782654,0.11131760478019714
HORN,SHORT CIRCUIT,HORN,1.0,21.397368,"TEMPERATURE  HORN DOES NOT WORK REASON  THERE IS A SHORT CIRCUIT IN THE HORN SOCKET DUE TO THE CHECKS. 
IT WAS DETECTED THAT THE HORN WAS DEFECTIVE AND NOT WORKING DUE TO 
IT HAS BEEN DONE.
THE FAILURE WAS FIXED BY REPLACING THE HORN WITH A NEW ONE. PROCEDURE  THE HORN WAS REPLACED WITH A NEW ONE AND THE FAILURE WAS FIXED.",Type of Failure,Human Error,Material Failure,Design Flaw,Total Cost Incurred,0.14084403216838837,0.12885551154613495,0.12728799879550934,0.12361528724431992,0.12323065102100372
BELT TENSIONER,DEFECTIVE CASTINGS/DIE,BELT TENSIONER,1.0,26.374737,"COMPLAINT  AIR CONDITIONING ROLLERS WORKING, DEFECTIVE BEARING CASTING 
THE ROLLERS GENERATE NOISE, REPLACE THE ROLLERS CPRZ  G AIR CONDITIONING ROLLER WORKING, DEFECTIVE BEARING CASTING 
THE ROLLERS GENERATE NOISE, REPLACE THE ROLLER CORRECTION  AIR CONDITIONING ROLLER WORKING TOO MUCH, DEFECTIVE BEARING CASTING 
THE ROLLERS GENERATE NOISE, REPLACE THE ROLLERS",Defective Component,Defective Part,Number of Parts Replaced,Type of Failure,Total Cost Incurred,0.16196517646312714,0.14022687077522278,0.13926595449447632,0.1275521069765091,0.12017849832773209
