DealerComment,Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Cause_of_Failure,Human_error,Design_Flaw,Material,Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Total Cost Incurred,Cause of Failure: Human Error,Cause of Failure: Design Flaw,Cause of Failure: Material Issue
 TIPO DANNO forte rumorosit trasmissione  CAUSA scomposto differenziale per verifica parti - riscontrati cuscinetti con gioco - presenza di smeriglio nell'olio - danneggi ati denti della coppia conica dei satelliti e dei planetari  CORREZIONE nd,DIFFERENTIAL REAR AXLE,BREAK,REAR AXLE/I,1.0,1147.13, DAMAGE TYPE  loud transmission noise  CAUSE  broken down differential to check parts - bearings with play found - presence of emery in the oil - damaged teeth of the bevel gear of the satellites and planetaries  CORRECTION  nd,"{'Type of Failure': 0.2730311155319214, 'Defective Component': 0.16121794283390045, 'Cause of Failure: Material Issue': 0.14954474568367004, 'Defective Part': 0.13854210078716278, 'Number of Parts Replaced': 0.1014801487326622, 'Cause of Failure: Design Flaw': 0.06219955533742905, 'Total Cost Incurred': 0.058297622948884964, 'Cause of Failure: Human Error': 0.05568674951791763}",0,0,1,0,0,0,0,0,0,0,0
"COMPLAINT Nivelul lichidullui de frana scade de pe o zi pe alta si cursa 
lunga la pedala de frana. CAUSE Etrier stanga spate defect CORRECTION Necesar etrier stanga spate",BRAKE CALIPER,DEFECT,BRAKE SADDLE,1.0,150.837067," COMPLAINT  The brake fluid level drops from day to day and the race 
long on the brake pedal. CAUSES  Defective rear left caliper  CORRECTION Rear left caliper required","{'Defective Component': 0.32163068652153015, 'Defective Part': 0.2396988719701767, 'Type of Failure': 0.15003758668899536, 'Number of Parts Replaced': 0.08352052420377731, 'Cause of Failure: Material Issue': 0.07737147808074951, 'Cause of Failure: Design Flaw': 0.05748089775443077, 'Cause of Failure: Human Error': 0.04195109009742737, 'Total Cost Incurred': 0.028308887034654617}",0,0,1,0,0,0,0,0,0,0,0
 REKL RECHTER AUENSPIEGEL KLAPPERT  GRUND AUENSPIEGEL IM HALTER LOSE  KORRECTUR SPIEGEL ERSETZEN,CAB REARVIEW MIRROR,LOOSE RETAINER,REAR MIRROR RIGHT,1.0,225.93, REKL  RIGHT EYE MIRROR RATTLES   REASON EXTERIOR MIRROR LOOSE IN HOLDER   CORRECTION  REPLACE MIRROR,"{'Type of Failure': 0.20475982129573822, 'Number of Parts Replaced': 0.17133072018623352, 'Defective Component': 0.13258416950702667, 'Cause of Failure: Human Error': 0.1301272213459015, 'Defective Part': 0.11630117148160934, 'Cause of Failure: Material Issue': 0.10556492209434509, 'Total Cost Incurred': 0.07211126387119293, 'Cause of Failure: Design Flaw': 0.06722068786621094}",1,0,0,0,0,0,0,0,0,0,0
" REKL Hinterachse Oelverlust  GRUND Hinterachse links Radnabe / Seitenwelle undicht Oel, Bremse stark veroelt  KORRECTUR Hinterachse links Radnabe / Seitenwelle neu abgedichtet, Austausch der Bremszangenkloetze, umfangreiche Reinigungsarbeiten zur Repar atur",HALF SHAFTS,OIL LEAKS,O-RING,4.0,437.93," REKL  Rear axle oil loss   REASON Rear axle left wheel hub / side shaft leaking oil, brake heavily oiled   CORRECTION  Rear axle on the left wheel hub/side shaft resealed, replacement of the brake caliper blocks, extensive cleaning work for repairs","{'Type of Failure': 0.19925743341445923, 'Number of Parts Replaced': 0.1887107491493225, 'Defective Component': 0.1576198786497116, 'Cause of Failure: Material Issue': 0.13086390495300293, 'Defective Part': 0.11127538233995438, 'Total Cost Incurred': 0.07956737279891968, 'Cause of Failure: Human Error': 0.07235042005777359, 'Cause of Failure: Design Flaw': 0.06035490706562996}",0,0,1,0,0,0,0,0,0,0,0
"REKL Lackschaden am Fahrerhaus, hinten Links und Reckts Lack 
abgeplatzt an der Dichtnaht.

ASSIST : 106732292 GRUND Schlechte Verarbeitung an den Dichtnähten. KORRECTUR Dichtnaht erneuert, Lack an Ecksäulen links und Rechts Beilackiert.

ASSIST Freigabe 106732292",CAB,UNEVEN PAINT,OUTER PANEL,0.0,742.0,"REKL  Paint damage to the driver's cab, rear left and right paint 
chipped at the sealing seam.

ASSIST : 106732292 REASON  Poor workmanship on the sealing seams. CORRECTION  Sealing seam renewed, paint on corner columns left and right repainted.

ASSIST release 106732292","{'Type of Failure': 0.16334563493728638, 'Number of Parts Replaced': 0.15552538633346558, 'Defective Component': 0.14364033937454224, 'Cause of Failure: Material Issue': 0.13631100952625275, 'Defective Part': 0.13211819529533386, 'Cause of Failure: Design Flaw': 0.10924732685089111, 'Cause of Failure: Human Error': 0.08945830166339874, 'Total Cost Incurred': 0.07035382091999054}",0,0,1,0,0,0,0,0,0,0,0
"REKL Unterwegshilfe Fehler Ad blue mit Leistungsreduzierung.
Parkplatz Dorngrund A24 GRUND Leistungsreduzierung vom Kontrollroom und IANS Fahrt 100km und in 
Werkstatt repariert KORRECTUR Wechsel 12v Heizleitung ADBLUE Fehler löschen.",PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,177.82,"REKL  On-the-road help Ad blue error with power reduction.
Dorngrund parking lot A24 GRUND  Power reduction from control room and IANS drive 100km and in 
Workshop repaired CORRECTION  Change 12v heating cable ADBLUE Clear error.","{'Type of Failure': 0.24603375792503357, 'Number of Parts Replaced': 0.15289154648780823, 'Defective Component': 0.12913118302822113, 'Cause of Failure: Human Error': 0.11792667955160141, 'Defective Part': 0.11537686735391617, 'Cause of Failure: Material Issue': 0.10000105202198029, 'Cause of Failure: Design Flaw': 0.07521738111972809, 'Total Cost Incurred': 0.0634215846657753}",0,0,1,0,0,0,0,0,0,0,0
SKARGA WYJAZD DO AWARII LAWY-PROSIENNICA-LAWY 95KM X 4ZL CPRZ WYJAZD DO AWARII LAWY-PROSIENNICA-LAWY 95KM X 4ZL KORECTA WYJAZD DO AWARII LAWY-PROSIENNICA-LAWY 95KM X 4ZL,ANS 24 HOURS,MISCELLANEOUS,DELIVERY LINE,0.0,85.011186,COMPLAINT  TRIP TO LAVA FAILURE-PROSIENNICA-LAWA 95KM X 4ZL  CPRZ TRIP TO LAVA FAILURE-PROSIENNICA- LAWY 95KM X 4ZL CORRECTION  TRIP TO LAWA FAILURE-PROSIENNICA-LAWA 95KM X 4ZL,"{'Type of Failure': 0.2210168093442917, 'Number of Parts Replaced': 0.16068756580352783, 'Defective Part': 0.14653056859970093, 'Defective Component': 0.1335008144378662, 'Total Cost Incurred': 0.09301366657018661, 'Cause of Failure: Human Error': 0.0826864019036293, 'Cause of Failure: Material Issue': 0.08189757913351059, 'Cause of Failure: Design Flaw': 0.08066656440496445}",0,0,1,0,0,0,0,0,0,0,0
RECLAMO LUZ INTERIOR ZONA DE CARGA FUNDIDA CAUSA LUZ INTERIOR DE CARGA NO FUNCIONA ESTA LA INSTALACION EN CORTO SOLUCION REPARAR INSTALACION,CHASSIS LOOM,SHORT CIRCUIT,SET OF WIRING,1.0,94.4,CLAIM  INTERIOR LIGHT CARGO AREA BLOWN  CAUSE  INTERIOR CHARGING LIGHT DOES NOT WORK THIS INSTALLATION SHORT  SOLUTION  REPAIR INSTALLATION,"{'Type of Failure': 0.20691350102424622, 'Number of Parts Replaced': 0.17947524785995483, 'Defective Component': 0.16048406064510345, 'Defective Part': 0.14327140152454376, 'Cause of Failure: Material Issue': 0.13921742141246796, 'Cause of Failure: Design Flaw': 0.07470458000898361, 'Cause of Failure: Human Error': 0.05173403397202492, 'Total Cost Incurred': 0.04419977217912674}",0,0,1,0,0,0,0,0,0,0,0
" REKL MOTORKONTROLLE MIT LEISTUNGSREDUZIERUNG  GRUND FEHLER DER AD BLUE QUALITAETSERKENNUNG  KORRECTUR FEHLERSUCHE UND ANLAGENDIAGNOSE, RESET DER AD BLUE ANLAGE DURCHGEFUEHRT",AD-BLUE TANK,DEFECT,PUMP,0.0,37.8," REKL  ENGINE CHECK WITH POWER REDUCTION   REASON AD BLUE QUALITY DETECTION ERROR   CORRECTION  TROUBLESHOOTING AND SYSTEM DIAGNOSIS, RESET OF THE AD BLUE SYSTEM CARRIED OUT","{'Type of Failure': 0.21381278336048126, 'Number of Parts Replaced': 0.17308518290519714, 'Defective Component': 0.1516418159008026, 'Defective Part': 0.11272642761468887, 'Cause of Failure: Material Issue': 0.11051107943058014, 'Total Cost Incurred': 0.10778642445802689, 'Cause of Failure: Design Flaw': 0.06671003997325897, 'Cause of Failure: Human Error': 0.0637262612581253}",0,0,1,0,0,0,0,0,0,0,0
"COMPLAINT GÅR I NØDMODUS CAUSE FEIL PÅ AD-BLUE RØR CORRECTION KONTROLLERT FOR FEIL, SJEKKET KONTAKTER OG JORD, SKIFTET 
AD-BLUE RØR OG SLETTET FEIL",PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,1.0,338.3,"COMPLAIN  GOING INTO EMERGENCY MODE CAUSE  AD-BLUE TUBE ERROR  CORRECTION CHECKED FOR FAULTY, CHECKED CONTACTS AND GROUND, REPLACED 
AD-BLUE TUBE AND DELETED ERROR","{'Type of Failure': 0.20988887548446655, 'Number of Parts Replaced': 0.17786584794521332, 'Defective Component': 0.13614429533481598, 'Defective Part': 0.11725351959466934, 'Cause of Failure: Material Issue': 0.11220917105674744, 'Cause of Failure: Design Flaw': 0.09615886956453323, 'Cause of Failure: Human Error': 0.08337923139333725, 'Total Cost Incurred': 0.0671001449227333}",0,0,1,0,0,0,0,0,0,0,0
 INCIDENT FUITE DE LIQUIDE DE REFROIDISSEMENT  CAUSE VASE D EXPANSION EN DEFAUT  SOLUTION D-R VASE EXPANSION LIQUIDE REFRVIDANGE ET RAVITAILLEMENT LIQUIDE REFROIDISSEMENT,RADIATOR EXPANSION TANK,CRACKED,EXPANSION TANK,7.0,162.39, INCIDENT  COOLANT LEAK   CAUSE FAULTY EXPANSION TANK   SOLUTION  D-R REFRAINING LIQUID EXPANSION VESSEL AND COOLING LIQUID REFUELING,"{'Type of Failure': 0.24507451057434082, 'Defective Component': 0.18292410671710968, 'Defective Part': 0.14917650818824768, 'Cause of Failure: Material Issue': 0.12768642604351044, 'Number of Parts Replaced': 0.11615367978811264, 'Cause of Failure: Design Flaw': 0.08546694368124008, 'Total Cost Incurred': 0.05437003821134567, 'Cause of Failure: Human Error': 0.039147838950157166}",0,0,1,0,0,0,0,0,0,0,0
"SKARGA BLOKUJE SIE I WYLACZA RADIO
THD 1067258362 CPRZ BŁEDY W OPROGRAMOWANIU RADIA KORECTA DIAGNOSTYKA,D/M RADIA,SPRAWDZENIE MAS I POLACZEN 
EL,WGRANIE AKTUALIZACJI",DAB RADIO BLUETOOTH,BLOCKAGE,MONITOR,0.0,30.675789,"COMPLAINT  BLOCKS AND TURNS OFF THE RADIO
THD 1067258362 CPRZ  ERRORS IN RADIO SOFTWARE  CORRECTION DIAGNOSTICS, RADIO D/M, CHECKING GROUNDS AND CONNECTIONS 
EL, UPDATE DOWNLOAD","{'Type of Failure': 0.2120450735092163, 'Defective Part': 0.16345717012882233, 'Number of Parts Replaced': 0.16252519190311432, 'Defective Component': 0.16008928418159485, 'Cause of Failure: Material Issue': 0.08736192435026169, 'Total Cost Incurred': 0.08320649713277817, 'Cause of Failure: Human Error': 0.06976935267448425, 'Cause of Failure: Design Flaw': 0.06154557690024376}",0,0,1,0,0,0,0,0,0,0,0
"Klgomål MISSLJUD FRAMVAGN VID KÖRNING Orsak FELSÖKNING, PROVKÖRNING, KONSTATERAT 
MISSLJUD VÄNSTER 
FRAM, Ändring KONTROLL KONSTATERAT DEFEKT MISSLJUD 
HJULLAGER, 
BYTE KOMPLETT LAGER SAMT UTFÖRT 
ERFODERLIGA 
JUSTERINGAR, NY PROVKÖRNING SAMT 
FUNKTIONSKONTROLL 
",BEARINGS,BREAK,WHEEL BEARINGS,7.0,714.035,"Goals  FRONT WHEEL NOISE WHEN DRIVING  Cause  TROUBLESHOOTING, TEST DRIVE, DIAGNOSED 
NOISE LEFT 
FORWARD, Change  CHECK FOUND DEFECTIVE NOISE 
WHEEL BEARINGS, 
REPLACEMENT COMPLETE STOCK AS WELL DONE 
NECESSARY 
ADJUSTMENTS, NEW TEST DRIVE AS WELL 
FUNCTIONAL CHECK","{'Defective Component': 0.2570033371448517, 'Number of Parts Replaced': 0.1632993072271347, 'Defective Part': 0.15693694353103638, 'Type of Failure': 0.11991479247808456, 'Cause of Failure: Material Issue': 0.10228360444307327, 'Cause of Failure: Human Error': 0.0822845920920372, 'Cause of Failure: Design Flaw': 0.0638718456029892, 'Total Cost Incurred': 0.054405611008405685}",0,0,1,0,0,0,0,0,0,0,0
" TIPO DANNO DIFFICOLTOSO AVVIAMENTO VEICOLO  CAUSA ROTTURA MOTORINO AVVIAMENTO  CORREZIONE DIAGNOSI IMPIANTO BATTERIA CON UDT, SOSTITUZIONE MOTORINO AVVIAMENTO (RIGENERATO NON DISPONIBILE)",STARTER MOTOR ASSY,BREAK,STARTER MOTOR,1.0,328.64," DAMAGE TYPE  DIFFICULT VEHICLE STARTING  CAUSE  STARTER MOTOR BREAKAGE   CORRECTION BATTERY SYSTEM DIAGNOSIS WITH UDT, REPLACEMENT OF THE STARTER MOTOR (REBUILT NOT AVAILABLE)","{'Defective Component': 0.245448499917984, 'Type of Failure': 0.23351998627185822, 'Defective Part': 0.2138223797082901, 'Number of Parts Replaced': 0.10011462867259979, 'Cause of Failure: Material Issue': 0.09025333821773529, 'Total Cost Incurred': 0.05221003293991089, 'Cause of Failure: Design Flaw': 0.03386351093649864, 'Cause of Failure: Human Error': 0.030767524614930153}",0,0,1,0,0,0,0,0,0,0,0
"COMPLAINT intet lys i højre tågelygte CAUSE der er gået vand ind i lygten og derfor lyser den ikke og vandet er 
rendt videre ud i stikke på ledningsnettet, så stik og kabelsko er defekt CORRECTION tågelygte udskiftet (ingen eksterne skader på lygte), samt stik og 
ledninger rep 0,4 time e-tid",FOG LAMP,WATER INFILTRATION,FRONT FOG LAMP,6.0,134.895442,"COMPLAIN  no light in the right fog lamp  CAUSE  water has entered the light and therefore it does not light up and the water is 
ran further into plugs on the wiring harness, so plugs and cable lugs are defective  CORRECTION  fog lamp replaced (no external damage to lamp), as well as plug and 
wires rep 0.4 hour e-time","{'Defective Component': 0.24089030921459198, 'Defective Part': 0.1798538714647293, 'Number of Parts Replaced': 0.17883221805095673, 'Type of Failure': 0.11992044001817703, 'Cause of Failure: Material Issue': 0.09612783044576645, 'Cause of Failure: Human Error': 0.08049530535936356, 'Cause of Failure: Design Flaw': 0.06970448791980743, 'Total Cost Incurred': 0.03417552635073662}",0,0,1,0,0,0,0,0,0,0,0
REKL Verkleidung am Schalthebel geht stÄndig los GRUND Befestigungsnasen an der Verkleidung lose KORRECTUR Verkleidung am Schalthebel erneuert,SHIFT LEVER BOOT,LOOSE RETAINER,GEAR LEVER KNOB,1.0,37.85,REKL  Cover on shifter keeps coming off  REASON Fastening lugs on the fairing loose  CORRECTION  Cover on the gearshift lever replaced,"{'Number of Parts Replaced': 0.21530331671237946, 'Type of Failure': 0.1790250539779663, 'Defective Component': 0.14005164802074432, 'Cause of Failure: Material Issue': 0.1256924867630005, 'Defective Part': 0.11522164195775986, 'Cause of Failure: Human Error': 0.08379995822906494, 'Cause of Failure: Design Flaw': 0.0787520632147789, 'Total Cost Incurred': 0.06215381249785423}",0,0,1,0,0,0,0,0,0,0,0
 SKARGA PARUJA LAMPY TYL  CPRZ PRZENIKNIECIE WODY WNETRZA LAMP TYL  KORECTA WYMIANA LAMP TYL LEWEJ I PRAWEJ,REAR LIGHT,WATER LEAKS,TAIL LAMP,2.0,122.736842, COMPLAINT  REAR LAMPS TURN OFF   CPRZ WATER PENETRATION IN THE INSIDE OF THE REAR LAMPS   CORRECTION  REPLACEMENT OF REAR LAMPS LEFT AND RIGHT,"{'Type of Failure': 0.1739303022623062, 'Defective Component': 0.17346912622451782, 'Number of Parts Replaced': 0.17023277282714844, 'Defective Part': 0.1592167168855667, 'Cause of Failure: Material Issue': 0.1092967838048935, 'Cause of Failure: Design Flaw': 0.08041747659444809, 'Total Cost Incurred': 0.06969400495290756, 'Cause of Failure: Human Error': 0.06374283134937286}",0,0,1,0,0,0,0,0,0,0,0
"reklamace V zátěži motoru je slyšet syčení příč. Diagnostika závady-prasklá hadice od turba k intercooleru-
nutná výměna oprava D/M hadice od turba k intercooleru, D/M spony-výměna - 
odzkoušení na zkušební jízdě-vše OK",SLEEVES,CRACKED,RUBBER SLEEVE,2.0,106.77,"complaint  A hissing noise is heard under engine load  part. Fault diagnosis-cracked hose from turbo to intercooler-
replacement required  repair  D/M hose from turbo to intercooler, D/M clip-replacement - 
tested on a test drive - everything OK","{'Defective Component': 0.19646106660366058, 'Defective Part': 0.1812848150730133, 'Number of Parts Replaced': 0.17689067125320435, 'Type of Failure': 0.16787084937095642, 'Cause of Failure: Material Issue': 0.1094467043876648, 'Cause of Failure: Design Flaw': 0.062137000262737274, 'Total Cost Incurred': 0.0599214993417263, 'Cause of Failure: Human Error': 0.045987412333488464}",0,0,1,0,0,0,0,0,0,0,0
SKARGA Spadek mocy CPRZ Wysuniety pin w zlaczu wiazki do ukladu AdBlue KORECTA Naprawa polaczenia konektorowego zlacza wiazki do ukladu AdBlue,AD-BLUE SYSTEM CABLING,DEFECTIVE CONTACTS,WIRE/CABLE,0.0,50.252631,COMPLAINT  Power loss CPRZ  Extended pin in the AdBlue harness connector  CORRECTION  Repair of the connector connection of the harness to the AdBlue system,"{'Type of Failure': 0.25981760025024414, 'Number of Parts Replaced': 0.1479138880968094, 'Defective Component': 0.14774590730667114, 'Cause of Failure: Material Issue': 0.12643006443977356, 'Defective Part': 0.12045405805110931, 'Cause of Failure: Design Flaw': 0.08338921517133713, 'Cause of Failure: Human Error': 0.0688352882862091, 'Total Cost Incurred': 0.04541400074958801}",0,0,1,0,0,0,0,0,0,0,0
"TIPO DANNO INDICAZIONE TEMPERATURA ESTERNA NON FUNZIONA BENE CAUSA DIFETTOSITA' DI CONNESSIONE CABLAGGIO MOTORE SENSORE 
TEMPERATURA ESTERNA CORREZIONE RIPRISTINO CONNESSIONI CABLAGGIO MOTORE SENSORE 
TEMPERATURA ESTERNA",ENG.CONTR.UNIT CABLES,DEFECT,MOTOR HARNESS,0.0,36.0,"DAMAGE TYPE  OUTSIDE TEMPERATURE INDICATION DOES NOT WORK WELL CAUSE  DEFECTIVE CONNECTION OF ENGINE SENSOR WIRING 
OUTSIDE TEMPERATURE CORRECTION  RESTORATION OF SENSOR ENGINE WIRING CONNECTIONS 
OUTSIDE TEMPERATURE","{'Defective Component': 0.29138991236686707, 'Type of Failure': 0.18343792855739594, 'Defective Part': 0.15572084486484528, 'Cause of Failure: Material Issue': 0.09775076806545258, 'Cause of Failure: Design Flaw': 0.08748828619718552, 'Number of Parts Replaced': 0.06392079591751099, 'Cause of Failure: Human Error': 0.0629001036286354, 'Total Cost Incurred': 0.05739143118262291}",0,0,1,0,0,0,0,0,0,0,0
"KLACHT Ruitenwissers werken onregelmatig OORZAAK regensensor moest opnieuw aangekoppeld worden CORRECTIE uitlezen en wissen storingen, controleren parameters, controleren werking 
ruitenwissers, controleren zekeringen, controleren bekabeling en contacten, 
controleren intervalschakelaar, controleren en vastzetten regensensor, 
controle ok",RAIN SENSOR,INCORRECT ADJUSTMENT,SENSOR,0.0,81.38,"COMPLAINT  Windshield wipers work erratically  CAUSE rain sensor had to be reconnected CORRECTION read out and clear faults, check parameters, check operation 
windshield wipers, check fuses, check wiring and contacts, 
check interval switch, check and secure rain sensor, 
check ok","{'Type of Failure': 0.21343615651130676, 'Number of Parts Replaced': 0.1649872064590454, 'Defective Component': 0.1460551917552948, 'Defective Part': 0.13447922468185425, 'Cause of Failure: Material Issue': 0.12920500338077545, 'Cause of Failure: Design Flaw': 0.08017624169588089, 'Cause of Failure: Human Error': 0.06771678477525711, 'Total Cost Incurred': 0.06394421309232712}",0,0,1,0,0,0,0,0,0,0,0
COMPLAINT martor motor prezent in bord CAUSE senzor nox defect CORRECTION inlocuit senzor nox,NOX DETECTION SENSOR,DEFECT,SENSOR,1.0,169.934827, COMPLAINT  engine light present on board  CAUSES  defective nox sensor  CORRECTION nox sensor replaced,"{'Defective Component': 0.30672383308410645, 'Defective Part': 0.2095925658941269, 'Type of Failure': 0.13896921277046204, 'Number of Parts Replaced': 0.10434148460626602, 'Cause of Failure: Material Issue': 0.0861876830458641, 'Cause of Failure: Design Flaw': 0.07524628937244415, 'Cause of Failure: Human Error': 0.044251833111047745, 'Total Cost Incurred': 0.034687090665102005}",0,0,1,0,0,0,0,0,0,0,0
 SKARGA Brak swiatel pozycyjnych  CPRZ Przerwany przewod elektryczny 3337 o kolo pasowe sprezarki klimatyzacji  KORECTA Przywrocenie cialgosci na wyzej wymienionym przewodzie,CHASSIS LOOM,BREAK,FRAME WIRING,0.0,182.872483, COMPLAINT  No side lights   CPRZ Broken electrical wire 3337 on the air conditioning compressor pulley   CORRECTION  Restoration of continuity on the above-mentioned cable,"{'Type of Failure': 0.25036948919296265, 'Number of Parts Replaced': 0.2051539570093155, 'Defective Component': 0.12347979843616486, 'Defective Part': 0.11703494936227798, 'Cause of Failure: Material Issue': 0.11052302271127701, 'Cause of Failure: Design Flaw': 0.07973214983940125, 'Cause of Failure: Human Error': 0.0605749636888504, 'Total Cost Incurred': 0.053131673485040665}",0,0,1,0,0,0,0,0,0,0,0
COMPLAINT MARTOR AD BLUE APRINS CAUSE SERPENTINA AD BLUE DEFECTA CORRECTION INLOCUIRE SERPENTINA AD BLUE,PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,124.992126, COMPLAINT  BLUE LIGHT ON  CAUSES  AD BLUE DEFECTIVE COIL  CORRECTION REPLACEMENT AD BLUE,"{'Defective Component': 0.261124849319458, 'Defective Part': 0.23161791265010834, 'Type of Failure': 0.16537414491176605, 'Number of Parts Replaced': 0.1007142961025238, 'Cause of Failure: Material Issue': 0.08615048229694366, 'Cause of Failure: Design Flaw': 0.07009271532297134, 'Total Cost Incurred': 0.04429592192173004, 'Cause of Failure: Human Error': 0.04062964767217636}",0,0,1,0,0,0,0,0,0,0,0
 TIPO DANNO RUMORE IN STERZATA  CAUSA ROTTURA TESTINE  CORREZIONE SOSTITUZIONE TESTINE BRACCI,SUSP.ARM BALL JOINTS,BREAK,BALL JOINT,4.0,596.38, DAMAGE TYPE  NOISE WHEN STEERING  CAUSE  BROKEN HEADS   CORRECTION REPLACING ARM HEADS,"{'Type of Failure': 0.2582639157772064, 'Defective Component': 0.16255150735378265, 'Defective Part': 0.140664741396904, 'Cause of Failure: Human Error': 0.11774411797523499, 'Number of Parts Replaced': 0.10884247720241547, 'Cause of Failure: Material Issue': 0.09945898503065109, 'Total Cost Incurred': 0.05923107638955116, 'Cause of Failure: Design Flaw': 0.053243108093738556}",0,0,1,0,0,0,0,0,0,0,0
SKARGA WIBRACJE KOŁA PASOWEGO WAŁU CPRZ WIBRACJE KOŁA PASOWEGO WAŁU KORBOWEGO KORECTA WYMIANA KOŁA PASOWEGO,CRANKSHAFT PULLEY,VIBRATIONS,EXH. MANIFOLD GKT,1.0,184.296842,COMPLAINT  SHAFT PULLEY VIBRATION  CPRZ CRANKSHAFT PULLEY VIBRATION  CORRECTION  REPLACEMENT OF PULLEY,"{'Type of Failure': 0.22173316776752472, 'Defective Component': 0.16574452817440033, 'Defective Part': 0.1636354923248291, 'Number of Parts Replaced': 0.15476565062999725, 'Cause of Failure: Material Issue': 0.09317328780889511, 'Cause of Failure: Design Flaw': 0.07252393662929535, 'Cause of Failure: Human Error': 0.06623692810535431, 'Total Cost Incurred': 0.06218695640563965}",0,0,1,0,0,0,0,0,0,0,0
COMPLAINT VERIFICAT FUNTIONARE MOTOR CAUSE SONDA LAMDA DEFECTA CORRECTION INLOCUIT SONDA LAMDA,OXYGEN SENSOR,DEFECT,SENSOR,1.0,97.297245, COMPLAINT  ENGINE FUNCTION VERIFIED  CAUSES  DEFECTIVE LAMDA PROBE  CORRECTION LAMDA PROBE REPLACED,"{'Defective Component': 0.30504196882247925, 'Defective Part': 0.21775083243846893, 'Type of Failure': 0.14791004359722137, 'Number of Parts Replaced': 0.0926591232419014, 'Cause of Failure: Material Issue': 0.07859541475772858, 'Cause of Failure: Design Flaw': 0.0785195529460907, 'Cause of Failure: Human Error': 0.041885945945978165, 'Total Cost Incurred': 0.03763716295361519}",0,0,1,0,0,0,0,0,0,0,0
"REKL SITZ VERSTELLUNG RÜCKENLEHNE SEILZUG GERISSEN GRUND SEILZUG GERISSEN
VORRICHTUNG ZUR VERSTELLUNG DER RÜCKENLEHNE 
GEBROCHEN; FAHRERSITZVERKLEIDUNG RISS KORRECTUR SITZ REP:",BACKREST ADJUSTING DEVICE,BROKEN AWAY,KIT-SEATS,3.0,377.28,"REKL  SEAT ADJUSTMENT BACKREST CABLE TORN  REASON CABLE TORN
DEVICE FOR ADJUSTING THE BACKREST 
BROKEN; DRIVER SEAT COVER CRACK CORRECTION  SEAT REP:","{'Type of Failure': 0.22309091687202454, 'Number of Parts Replaced': 0.19193430244922638, 'Cause of Failure: Material Issue': 0.1267232745885849, 'Defective Component': 0.11897949874401093, 'Defective Part': 0.10152894258499146, 'Total Cost Incurred': 0.09211939573287964, 'Cause of Failure: Design Flaw': 0.07343390583992004, 'Cause of Failure: Human Error': 0.07218971103429794}",0,0,1,0,0,0,0,0,0,0,0
" SKARGA GLOSNA PRACA PIASTY  CPRZ NADMIERNY LUZ LOZYSKA PIASTY PRZEDNIEJ LEWEJ, POPDUJE GLOSNA PRACE  KORECTA WYMIANA LOZYSKA",BEARINGS,NOISE,WHEEL BEARINGS,5.0,268.333334," COMPLAINT  HUB LOUD RUNNING   CPRZ EXCESSIVE PLAY IN THE FRONT LEFT HUB BEARING, WILL PROMOTE NOISY OPERATION   CORRECTION  BEARING REPLACEMENT","{'Type of Failure': 0.18125642836093903, 'Number of Parts Replaced': 0.16958370804786682, 'Defective Component': 0.16405010223388672, 'Defective Part': 0.1497873067855835, 'Cause of Failure: Material Issue': 0.10290995985269547, 'Cause of Failure: Design Flaw': 0.07953246682882309, 'Cause of Failure: Human Error': 0.07919762283563614, 'Total Cost Incurred': 0.07368238270282745}",0,0,1,0,0,0,0,0,0,0,0
 REKL UNTERWEGSHILFE/NOTDIENST NACH OBERTSHAUSEN VON 21:00 BIS 00:45 UHR 58 KM  GRUND UNTERWEGSHILFE/NOTDIENST NACH OBERTSHAUSEN VON 21:00 BIS 00:45 UHR 58 KM  KORRECTUR UNTERWEGSHILFE/NOTDIENST NACH OBERTSHAUSEN VON 21:00 BIS 00:45 UHR 58 KM,ANS 24 HOURS,MISCELLANEOUS,CATALYTIC SILENCER,0.0,513.1, REKL  ON THE ROAD HELP/EMERGENCY SERVICE TO OBERTSHAUSEN FROM 9:00 PM TO 12:45 AM 58 KM   REASON ON THE ROAD HELP/EMERGENCY SERVICE TO OBERTSHAUSEN FROM 9:00 PM TO 12:45 AM 58 KM  CORRECTION  ON THE ROAD HELP/EMERGENCY SERVICE TO OBERTSHAUSEN FROM 9:00 PM TO 12:45 AM 58 KM,"{'Type of Failure': 0.1395522505044937, 'Cause of Failure: Human Error': 0.13101722300052643, 'Total Cost Incurred': 0.12831005454063416, 'Cause of Failure: Material Issue': 0.12739889323711395, 'Defective Component': 0.1255120486021042, 'Defective Part': 0.12140322476625443, 'Number of Parts Replaced': 0.11590959131717682, 'Cause of Failure: Design Flaw': 0.11089673638343811}",0,0,1,0,0,0,0,0,0,0,0
