Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Extracted_Entities
INJECTOR,DEFECT,ELECTRICAL INJECTION,2.0,655.15,"COMPLAIN  Vehicle in emergency mode CAUSE  Diagnostics, electrical control installation - two faulty injectors detected 
fuel  CORRECTION  Replaced the injectors","[('CAUSE  Diagnostics', 'ORG'), ('two', 'CARDINAL')]"
REAR DOOR CONNECTION,DEFECTIVE CLOSURE/OPENING,CONNECTION,2.0,72.293065, COMPLAINT   CPRZ    CORRECTION,"[('COMPLAINT', 'ORG')]"
RADIATOR,DEFORMED,WATER RADIATOR,2.0,230.3812,"TEMPERATURE  THERE IS A WATER LEAK. FROM WHERE  RADIATOR PRESSING OF THE VEHICLE DURING THE SERVICE CHECK 
IT WAS OBSERVED THAT IT WAS DEFORMED FROM ITS PLACE. PROCEDURE  HAS BEEN CHANGED. THE FAILURE HAS BEEN FIXED. ANTIFREEZE IN THE SERVICE IS 700 TL 
ADDED.","[('A WATER LEAK', 'WORK_OF_ART'), ('FAILURE', 'ORG'), ('700', 'CARDINAL')]"
FILTER TO PUMP PIPE,BREAK,FUEL LINE,1.0,28.22, DAMAGE TYPE  DIESEL LEAK  CAUSE  CHECK FUEL LOSS. THE PIPE FROM THE FILTER TO THE INJECTION PUMP IS BROKEN.  CORRECTION  REPLACEMENT OF FUEL PIPE ATTACHED TO BILL N.27109 OF 06/12/2023,"[('CORRECTION', 'PERSON'), ('BILL N.27109 OF 06/12/2023', 'ORG')]"
SHOES,INCORRECT ADJUSTMENT,KIT,0.0,17.6," DAMAGE TYPE  PARKING BRAKE LIGHT  CAUSE  Parking brake fault, EPB warning light does not stay on with parking brake engaged and consequently PTO failure.  CORRECTION  parking brake fault, we have re-adjusted the parking brake shoes and calibrated with UDT as per KA000004440 and KA000004435, we have reset the faults and verified the correct functioning of the brake parking THD 105949767","[('CAUSE', 'ORG'), ('EPB', 'ORG'), ('PTO', 'ORG'), ('CORRECTION', 'PERSON'), ('UDT', 'ORG'), ('KA000004440', 'PRODUCT'), ('KA000004435', 'PERSON'), ('105949767', 'DATE')]"
INDICATORS INSTRUMENT,DEFECT,KIT,0.0,128.7," REKL  VARIOUS ERROR MESSAGES IN THE CLUSTER   REASON ERROR CLUSTER, BRAKES ;EPB   CORRECTION  GUIDED PROCEDURE","[('EPB', 'ORG')]"
ECU 13-PIN SOCKET TRAILER,CORROSION/OXIDATION/PITS,ELECTR. CONTR. UNIT,2.0,407.52," REKL  ANH; SOCKET NO CONTINUITY  REASON  CONTROL UNIT OXIDIZED, CORRODED   CORRECTION RENEW CONTROL UNIT AND PROGRAM USING TELESERVICE, 1 COIN","[('ANH', 'ORG'), ('CONTINUITY', 'ORG'), ('CONTROL UNIT OXIDIZED', 'ORG'), ('CORRODED', 'ORG'), ('1', 'CARDINAL')]"
SLIDING DOOR RUNNERS,MISALIGNED,DOOR LOCK,1.0,155.153153,"DAMAGE TYPE  The customer complains that the sliding door does not stay engaged  CAUSE Bad positioning adjustment  CORRECTION  Check defect, loosened door fixing points and fixed 
sealing gasket and fixing and sliding points
Performed basic adjustment","[('CORRECTION  Check', 'PERSON')]"
HOOD ASSEMBLY,UNEVEN PAINT,HOOD,1.0,104.362417, COMPLAINT  Incorrectly painted vehicle hood - blister on the edge of the hood   CPRZ Incorrectly painted vehicle hood - blister on edge of the mask  CORRECTION  Paint repair of the vehicle's hood,"[('COMPLAINT', 'ORG'), ('CORRECTION  Paint', 'ORG')]"
ENG.OIL PRESSURE SWITCH,DEFECT,PRESSURE SWITCH,2.0,249.72072,"REKL  Intermittent low oil pressure message  REASON one of the sensors is defective  CORRECTION  After telephone consultation, THD replaced both sensors","[('THD', 'ORG')]"
EGR VALVE,AIR LEAKS,EGR VALVE,0.0,208.653846,"INCIDENT  ENGINE LIGHT ON CAUSE  EGR CONTROL PIPE CAME OUT  SOLUTION  REMOVE / INSTALL EGR INSTALLED A COLLAR TO HOLD 
PLACE THE HOSE RETURNED THE HOSE CLAMP CLAMP CLEAR 
TEST FAILURES","[('INCIDENT  ENGINE', 'ORG'), ('CAUSE', 'ORG'), ('EGR CONTROL PIPE CAME OUT', 'ORG'), ('HOSE', 'ORG'), ('FAILURES', 'ORG')]"
PIPES,BREAK,HOSE,6.0,110.57,"CLAIM  CUSTOMER INDICATES THAT DRIVING THE VEHICLE IN SOME 
OCCASIONALLY THE FAULT WARNING LIGHT CAME CAUSE  BURNED HOSE BY THE EXHAUST PIPE  SOLUTION CHANGE NOX SENSOR HOSE","[('PIPE', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('HOSE', 'ORG')]"
REAR VAN DOORS,DEFECT,DOOR REAR,4.0,1490.13,"COMPLAINT Rear door's have cracks under the hinges. CAUSE Rear door's have cracks under the hinges, because the rear doors are 
defective and needs to be replaced. CORRECTION Repl. defective rear door's","[('COMPLAINT Rear', 'ORG'), ('CAUSE Rear', 'ORG'), ('CORRECTION Repl', 'ORG')]"
JACK,DEFECT,JACK,1.0,140.95,DAMAGE TYPE  Jack oil leak CAUSE  Oil leak detected from the jack due to faulty  CORRECTION replacement jack,"[('Jack', 'PERSON'), ('CAUSE', 'ORG')]"
SHOES,BREAK,KIT,5.0,1471.063065,"REKL  Parking brake no longer releases. Travel by service car 
Munchweiler. REASON  Release the handbrake motor with an external power supply.
The left handbrake still doesn't release. Wheels and hub 
Dismantle, the brake shoe holder is on the anchor plate and 
the ABS sensor tore off. Dismantle the handbrake on site and 
Reassemble the hub and wheels.
Take the vehicle to Kallnach and repair it. CORRECTION  Replace handbrake complete with brake shield and brake disc. 
Replace ABS sensor, holder and the broken screw 
drilling and shitting. New ABS ring and oil seal 
assemble, assemble everything and adjust the handbrake.
Short test drive, everything ok.","[('REKL  Parking', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('Kallnach', 'GPE'), ('CORRECTION  Replace', 'ORG'), ('sensor', 'DEFECTIVE_PART')]"
PUMP DRIVE GASKET,DEFORMED,O-RING,1.0,121.042106," COMPLAINT  VISIBLE OIL LEAKS IN THE ENGINE COMPARTMENT   CPRZ OIL LEAKAGE FROM THE DEFORMED O-RING OF THE INJECTION PUMP HOUSING  CORRECTION  REPLACING THE O-RING, WASHING THE ENGINE AFTER A LEAK.","[('COMPLAINT', 'ORG'), ('VISIBLE', 'ORG'), ('THE INJECTION PUMP HOUSING  CORRECTION  REPLACING THE O-RING', 'ORG'), ('LEAK', 'ORG')]"
FRT AXLE WHEEL HUBS,BREAK,FRONT WHEEL HUB,7.0,894.45,"INCIDENT  CUSTOMER: PACK GO LOGISTICS - POLAND INTERVENTION ON 
BRICOMAN PARKING IN CHALON/SAONE. CAUSE  - RIGHT FRONT WHEEL BEARING FAILURE - BREAKAGE / 
WHEEL BEARING BROKENNESS WITH DAMAGE 
IMPORTANT ON THE RIGHT SIDE AXLE T. SOLUTION  FILE ANS 8001858031 CUSTOMER: PACK GO LOGISTICS - 
POLANDINTERVENTION IN BRICOMAN PARKING OF 
CHALON/SAONE. - FRONT WHEEL BEARING FAILURE 
RIGHT - RUPTURE/BREAKAGE OF WHEEL BEARING WITH 
MAJOR DAMAGE ON THE RIGHT SIDE AXLE. - 
WHEEL HUB REPLACEMENT - REPLACEMENT OF 
WHEEL BEARING.","[('CAUSE', 'ORG'), ('FILE ANS 8001858031', 'ORG')]"
GEAR LEVER KNOB,BREAK,LEVER KNOB,1.0,52.15, DAMAGE TYPE  numbers on the knob are not visible   CAUSE broken numeric keypad broken   CORRECTION  gear knob replacement,"[('CAUSE', 'ORG'), ('keypad', 'PRODUCT'), ('CORRECTION', 'PERSON')]"
2-3 SP.SYNCHRO ASSY,DEFECT,EXCHG.G.BOX JAWLA,1.0,1184.5, REKL 107585608  GRUND CAUSEDESCR  KORRECTUR CORRECTIONDESCR,"[('107585608', 'DATE')]"
MULTI-CONDUCTOR PLUG,DEFECT,WIRE/CABLE,1.0,188.23,"REKL  ERROR MESSAGE AHK  REASON CONTACT SWITCH TRAILER SOCKET DEFECTIVE
ALM UPDATE CORRECTION  REPLACE TRAILER SOCKET
ALM UPDATE","[('ALM UPDATE CORRECTION  REPLACE TRAILER SOCKET\nALM UPDATE', 'PRODUCT')]"
ENGINE DRIVE CONTR.UNIT,"CONTROL,VERIFICATION",ELECTR. CONTR. UNIT,0.0,285.6,"REKL  ENGINE FAULT WITH POWER REDUCTION  REASON SOFTWARE CONTROL UNIT EDC  CORRECTION  TROUBLESHOOTING / GUIDED PROCEDURES / TEST DRIVE 
RECORDING
SOFTWARE UPDATE","[('REKL  ENGINE FAULT', 'ORG')]"
5-6 SP.SYNCHRO ASSY,BREAK,KIT-SYNCHRONIZER,13.0,1222.696841,"COMPLAINT  NO POSSIBILITY TO ACTIVATE 6TH GEAR  CPRZ BROKEN 6-GOP SYNCHRONIZER PLATE 
MOUNTING TO THE 6TH GEAR SPROCKET CORRECTION  DEM/MON GEARBOX, REPAIR","[('COMPLAINT  NO POSSIBILITY', 'ORG'), ('6TH', 'CARDINAL'), ('6-GOP', 'QUANTITY'), ('6TH', 'CARDINAL'), ('REPAIR', 'ORG')]"
SLEEVES,CAGE COLLAPSE,RUBBER SLEEVE,1.0,130.204211," COMPLAINT  HISSING WHEN ADDING GAS   CPRZ LEAKING PIPE BETWEEN THE INTERCOOLER AND THE TURBOCHARGER, CRACKED   CORRECTION  INTERCOLLER PIPE REPLACEMENT","[('COMPLAINT  HISSING', 'ORG'), ('TURBOCHARGER', 'ORG'), ('CRACKED', 'ORG'), ('CORRECTION', 'PERSON')]"
INJECTION PUMP ASSY,DEFORMED,EXG. HIGHT PR. PUMP,2.0,683.145263,"COMPLAINT  CR PUMP LEAK  CPRZ DEFORMATION OF THE PUMP'S INTERNAL SEALS 
INJECTION CORRECTION  REPLACEMENT OF THE HIGH PRESSURE PUMP","[('COMPLAINT  CR PUMP', 'ORG'), ('INJECTION CORRECTION  REPLACEMENT', 'PERSON')]"
ADJUSTING DEVICE,BREAK,KIT-SEATS,1.0,96.16622,COMPLAIN  cannot adjust the seat CAUSE  knob for seat adjustment is broken off  CORRECTION seat adjustment ext,"[('CAUSE', 'ORG'), ('CORRECTION', 'PERSON')]"
AIR CLEANER DUCTS,BREAK,SUCTION LINE,1.0,57.3, DAMAGE TYPE  BROKEN SUCTION HOSE  CAUSE  SUCTION HOSE BROKEN   CORRECTION REPLACE INTAKE HOSE,"[('BROKEN', 'ORG'), ('HOSE', 'ORG'), ('CAUSE', 'ORG'), ('SUCTION HOSE BROKEN   ', 'PERSON'), ('HOSE', 'PERSON')]"
ANS 24 HOURS,MISCELLANEOUS,HOSE,0.0,509.55,"REKL  EMERGENCY CALL THROUGH ICC DOSSIER 8001731810  REASON CUSTOMER SERVICE CAR TO KOBLENZ KEMPERHOF 147KM X ¤1.05 INC. 
TRIP TO ET PROCUREMENT CORRECTION  ON THE GO HELP","[('CAR', 'ORG'), ('147KM X ¤1.05', 'PRODUCT')]"
CHASSIS LOOM,SHORT CIRCUIT,FRAME WIRING,1.0,88.395973," COMPLAINT  POWER STEERING DOES NOT WORK   CPRZ ELECTRICAL HARNESS SHORT CIRCUIT. CAN LINE COMMUNICATION ON THE CHASSIS FRAME  CORRECTION  FAULT VERIFICATION, ELECTRICAL HARNESS REPAIR. CAN LINE COMMUNICATION ON THE CHASSIS FRAME","[('COMPLAINT  POWER STEERING DOES NOT', 'ORG'), ('FRAME', 'ORG'), ('ELECTRICAL HARNESS REPAIR', 'ORG')]"
TEMPERATURE SENSOR,SHORT CIRCUIT,SENSOR,1.0,74.406317, COMPLAINT  CHECK ENGINE LIGHT IS ON   CPRZ SHORT CIRCUIT IN THE EXHAUST GAS OUTLET TEMPERATURE SENSOR BEHIND THE DPF   CORRECTION  REPLACEMENT OF THE EXHAUST GAS OUTLET TEMPERATURE SENSOR BEHIND THE DPF,"[('COMPLAINT  CHECK ENGINE', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('DPF', 'ORG'), ('CORRECTION', 'PERSON'), ('SENSOR', 'DEFECTIVE_PART'), ('DPF', 'ORG')]"
ANS 24 HOURS,MISCELLANEOUS,CONTROL CABLE,0.0,600.000001,INCIDENT  TROUBLESHOOTING IN MONT-SUR-LAUSANNE  CAUSE BLOCKED VEHICLE  SOLUTION  UNLOCK THE VEHICLE AND RETURN TO THE WORKSHOP,"[('UNLOCK', 'ORG'), ('VEHICLE', 'ORG')]"
"PRESS SENSOR, COOLING SYS",INCORRECT PRESSURE,SWITCH,1.0,52.82," REKL  PRESSURE SENSOR INCORRECT VALUES   REASON PRESSURE SENSOR WRONG VALUES, DURING DIAGNOSIS   CORRECTION  COOLANT PRESSURE SENSOR RENEWED RZ-N","[('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART')]"
SLEEVES,BREAK,RUBBER SLEEVE,4.0,181.77,COMPLAINT There were noise and engine failure and powerless. CAUSE Rubber sleeve broken CORRECTION Rubber sleeve has been replaced,"[('COMPLAINT', 'ORG'), ('noise', 'TYPE_OF_FAILURE'), ('CAUSE', 'ORG'), ('CORRECTION Rubber', 'ORG')]"
AD-BLUE TANK,BREAK,TANK/RESERVOIR,8.0,426.46, TIPO DANNO  AD BLUE LEAK  CAUSA  TROUBLESHOOTING.CHECKING THE AD BLUE CIRCUIT.LEAK AT THE AD TANK LEVEL BLUE.RESERVOIR HS  CORREZIONE  D-R AD-BLUE CIRCUIT TANK. REPLACE TANK-SCREW-JOINT AND SENSORCAR FULL OF CRYSTALS AND IMPOSSIBLE TO DISASSEMBLE. DRAIN AND SUPPLY AD-BLUE. CHECK OK,"[('DANNO', 'ORG'), ('AD', 'PRODUCT'), ('HS', 'ORG'), ('IMPOSSIBLE', 'ORG'), ('DISASSEMBLE', 'ORG'), ('DRAIN', 'ORG')]"
CATALYZER,DEFECT,CATALYTIC SILENCER,10.2,4417.25,"DAMAGE TYPE  Engine runs rough at idle - Catalytic converter, pre-catalyst and probe 
inefficient - Replacement of damaged parts and repair of the system CAUSE  Inefficient catalyst, pre-catalyst and probe  CORRECTION Replacement of damaged parts and repair of the system","[('Engine', 'ORG'), ('inefficient - Replacement', 'ORG'), ('CAUSE  Inefficient', 'ORG'), ('CORRECTION Replacement', 'ORG')]"
PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,1.0,110.37,"COMPLAIN  engine fault lights up CAUSE  ad-blue warm-up. abbreviated CORRECTION  Diagnostics, replacement of ad blue introduction","[('CAUSE', 'ORG'), ('CORRECTION  Diagnostics', 'ORG')]"
STARTER MOTOR ASSY,BREAK,STARTER MOTOR,1.0,208.88," DAMAGE TYPE  VEHICLE HAS TROUBLE TO RUN THE ENGINE, ENGINE FAILS TO START NOISE WHEN THE STARTER MOTOR IS TURNED ON   CAUSE MOTOR BREAKING STARTUP  CORRECTION  FAULT CHECK, BATTERY TEST WITH TESTS PERFORMED AS PER BULLETIN N. 038-2020 TRUCK E SB STARTER MOTOR REPLACEMENT","[('VEHICLE HAS TROUBLE', 'ORG'), ('ENGINE', 'ORG'), ('NOISE', 'TYPE_OF_FAILURE')]"
PEDAL,DEFECT,ACCELERATOR PEDAL,1.0,68.226377," COMPLAINT  I BOARD LIGHTS ON - IT ACCELERATES BY ITSELF AND NO LONGER 
PULL CAUSES  ACCELERATOR PEDAL DEFECTIVE  CORRECTION REPLACEMENT OF PART UNDER WARRANTY","[('ACCELERATOR', 'ORG'), ('DEFECTIVE', 'PERSON')]"
PARTICULATE TRAP,DEFECT,CATALYTIC SILENCER,2.0,1537.16331," COMPLAINT  Engine error, power limitation, fault verification   CPRZ DEFECTIVE CATALYTIC CONVERTER   CORRECTION  FAILURE VERIFICATION, COMP. DIAG., INSPECTION ACCORDING TO THE SURVEY, DIM. CATALYST","[('COMPLAINT', 'ORG'), ('DEFECTIVE CATALYTIC CONVERTER   CORRECTION  FAILURE', 'WORK_OF_ART'), ('COMP', 'ORG'), ('DIM', 'ORG'), ('CATALYST', 'ORG')]"
BATTERY,BREAK,BATTERY,1.0,170.45,"COMPLAINT Vehicle starting was not possible. CAUSE Battery cracked, leaked the liquid CORRECTION Battery has been replaced","[('COMPLAINT Vehicle', 'ORG'), ('CAUSE Battery', 'ORG'), ('CORRECTION Battery', 'PERSON')]"
SHAFT FLANGES,CRACKED,FLEXIBLE COUPLING,1.0,324.97,REKL  Vibration in the area of ​​the rear axle  REASON Hardy disk cracked1  CORRECTION  Hardy disc renewed,"[('REKL  Vibration', 'ORG'), ('cracked1', 'PERSON'), ('CORRECTION', 'PERSON'), ('Hardy', 'ORG')]"
GEARBOX MANUAL RELEASE,DEFORMED,COVER,1.0,13.957495, COMPLAINT  CPRZ DEFORMATION OF THE PLASTIC COVER OF THE AUTOMATIC GEARBOX UNLOCKING LEVER  CORRECTION  REPLACEMENT OF THE AUTOMATIC TRANSMISSION UNLOCKING LEVER COVER,"[('COMPLAINT', 'ORG'), ('THE AUTOMATIC GEARBOX UNLOCKING LEVER  CORRECTION  REPLACEMENT', 'ORG'), ('THE AUTOMATIC TRANSMISSION UNLOCKING LEVER COVER', 'ORG')]"
STARTER MOTOR ASSY,LOW OUTPUT/EFFICIENCY,EXCHANGE STARTER,1.0,231.41, INCIDENT  STARTER PROBLEM   CAUSE STARTER MOTOR   SOLUTION CHECKING AND REPLACING THE STARTER,"[('CAUSE STARTER MOTOR   SOLUTION CHECKING AND REPLACING THE STARTER', 'ORG')]"
SENSOR,DEFECT,SENSOR,1.0,156.39,"REKL  ABS/ESP error message lights up  REASON Read fault memory - ABS sensor on the left front defective  CORRECTION  ABS sensor left front replaced - Difficulty: severe 
rusted - fault memory deleted - test drive - none 
further error","[('sensor', 'DEFECTIVE_PART'), ('CORRECTION', 'PERSON'), ('sensor', 'DEFECTIVE_PART')]"
HEATER,FLUID LEAKS,RADIATOR/HEATER,2.0,967.375,"COMPLAINT CHECK ON COOLANT LEAK CAUSE INSPECTED AND FOUND HEATER RADIATOR LEAKING DUE TO 
MATERIAL FAILURE CORRECTION CHECKED COOLANT LEAK AND PRESSURE TESTED 
COOLANT SYSTEM. DRAINED COOLANT DISCONNECTED 
BATTERY AND REMOVED COMPLETE DASH. REMOVED 
HEATER BOX AND REMOVED AND REPLACED HEATER 
RADIATOR . REASSEMBLED AND REASSEMBLED DASH. 
PRESSURE TESTED COOLING SYSTEM AND REGASSED 495G 
R134A CHECKED ALL OK. TOPPED 5L COOLANT.","[('COMPLAINT', 'ORG'), ('ON COOLANT LEAK CAUSE', 'ORG'), ('MATERIAL', 'CAUSE_OF_FAILURE'), ('HEATER', 'ORG'), ('RADIATOR', 'PRODUCT'), ('TOPPED', 'ORG'), ('5L', 'CARDINAL')]"
AD-BLUE UNIT PUMP MODULE,BREAK,PUMP,1.0,1116.802326,"COMPLAINT DOSSIER 8001720329 POSSIBLE ADBLUE HEATER FAULT CAUSE DEFECTIVE ADBLUE PUMP. CORRECTION ATTEND VEHICLE. CONNECT UDT CARRY OUT DIAGNOSIS, 
CARRY OUT ADBLUE TEST. REMOVE ADBLUE PUMP, REMOVE 
INJECTOR AND CLEAN (ECONOMY) REFIT INJECTOR AND 
PUMP. 
TEST AND CLEAR CODES AFTER REPAIR. ROAD TEST. see 
attached 3rd party call out and attendance","[('COMPLAINT DOSSIER 8001720329 POSSIBLE ADBLUE HEATER FAULT CAUSE', 'ORG'), ('PUMP', 'ORG'), ('PUMP', 'ORG'), ('3rd', 'ORDINAL')]"
CAB ROOF,WATER INFILTRATION,PANEL,0.0,271.17, DAMAGE TYPE  WATER INFILTRATION INTO THE BOX (ALSO FROM THE LEFT REAR DOOR)   CAUSE WATER INFILTRATION INTO THE BOX (ALSO FROM REAR DOOR LEFT)  CORRECTION  SYS.,"[('BOX', 'ORG'), ('BOX', 'ORG'), ('CORRECTION', 'PERSON'), ('SYS', 'ORG')]"
TRACK ROD JOINT,BREAK,TIE ROD JOINT,1.0,223.17, DAMAGE TYPE  EXCESSIVE STEERING WHEEL PLAY  CAUSE  CAUSE OF INTERNAL BREAKING OF THE LEFT CROSS ROD JOINT   CORRECTION  REPLACEMENT OF THE CROSS TIE ROD JOINT,"[('CAUSE', 'ORG'), ('ROD JOINT', 'PERSON')]"
RADIO,SHORT CIRCUIT,RADIO,1.0,691.174418,"COMPLAINT Investigate Radio Inoperative CAUSE Carried out checks to the Radio, found no issue externally causing the fault. 
Internal failure of the Radio. New Radio required. CORRECTION Remove and replace Radio unit. Test, all okay.","[('COMPLAINT Investigate Radio Inoperative CAUSE Carried', 'ORG'), ('Radio', 'ORG'), ('Radio', 'ORG'), ('New Radio', 'ORG'), ('CORRECTION Remove', 'PERSON'), ('Radio', 'ORG')]"
PARTICULATE TRAP,BLOCKAGE,CATALYTIC SILENCER,0.0,109.2,"COMPLAINT Customer claims about dpf faults on IC CAUSE After vehicle inspection was identified that vehicle do not do 
regeneration, dpf is blocked CORRECTION Did regeneration, UDT diagnostics
Economy used for vehicle tests on the road, additional work with UDT 
diagnostics","[('COMPLAINT Customer', 'ORG')]"
PARTICULATE TRAP,LOW OUTPUT/EFFICIENCY,CATALYTIC SILENCER,0.0,52.0," DAMAGE TYPE  LIGHTS ON  CAUSE  DPF REGENERATION FAILED   CORRECTION DIAGNOSIS WITH UDT , FAULT MEMORY CHECK, PARAMETER CHECK DONE WIZARD PROCEDURE","[('CAUSE', 'ORG')]"
VAN SLIDING DOOR,DEFECTIVE CLOSURE/OPENING,DOOR LOCK,0.0,138.89,"COMPLAINT  Sliding door closes poorly  CAUSE lock too loose  CORRECTION ctr/adjust sliding door lock + ctr and adjusting guides 
sliding door","[('COMPLAINT  Sliding', 'ORG'), ('CAUSE', 'ORG')]"
FILTER SUPPORT,WATER INFILTRATION,FUEL FILTER,1.0,305.48,"REKL  Water in fuel filter lights up  REASON Fuel filter complete has moisture ingress  CORRECTION  Preparation of UDT, test of the control units & clear error memory, 
Diagnosis EDC, fuel filter console a/e & replace","[('REKL  Water', 'ORG'), ('CORRECTION  Preparation of UDT', 'ORG')]"
CATALYZER,BLOCKAGE,CATALYTIC SILENCER,0.0,106.92, COMPLAINT  BLOCKAGE / MILD INTERFERENCE   CAUSE BLOCK   CORRECTION /PREPARATION STATION U.D.T./DIAGNOSIS INST.EDC ENGINE/DIAGNOSIS SCR INSTALLATION/FORCED REGENERATION ROOTFI/CONTROL UNITS TESTING AND MALFUNCTION,"[('CORRECTION', 'PERSON')]"
HALF SHAFTS,BREAK,SIDE SHAFT,1.0,443.49,DAMAGE TYPE  NOISE CHECK CAUSE  SEMI-AXLE BREAKING  CORRECTION REPLACE HALF AXLE,"[('NOISE', 'TYPE_OF_FAILURE'), ('CORRECTION REPLACE HALF AXLE', 'ORG')]"
TURBO CHARGER,LOW OUTPUT/EFFICIENCY,TURBOCHARGER,11.0,674.666666,"COMPLAINT EDC WARNING LIGHT ON & LACK OF POWER CAUSE TURBO TESTED & ACTUATOR ONLY GOING TO 9% ALSO FAULT 
CODE000467 - 05.LOW BOOST FROM TURBO CAUSING 
MALFUNCTION CORRECTION FIT NEW TURBOCHARGER","[('ON & LACK OF POWER CAUSE', 'ORG')]"
REAR CABLE,INTERFERENCE,HAND BRAKE CABLE,2.0,57.54,"REKL  Check the brakes  REASON Rear left handbrake cable chafed  CORRECTION  Brakes checked, rear left handbrake cable replaced, adjusted","[('CORRECTION  Brakes', 'ORG')]"
PUMP DRIVE GASKET,DEFORMED,O-RING,2.0,116.15,"COMPLAIN  Oil is leaking from the engine CAUSE  oil leakage from under the high-pressure pump - deformed a 
leaky seal of the high pressure pump  CORRECTION  D-M pump oversealing","[('COMPLAIN  Oil', 'ORG'), ('CAUSE', 'ORG'), ('CORRECTION', 'PERSON')]"
TACHOGRAPH SENDER,SHORT CIRCUIT,KITAS SENSOR,2.0,187.011629,"COMPLAINT Tacho not working CAUSE Tacho sender unit short circuit CORRECTION Replaced tacho sender unit , Calibrate and road test.","[('COMPLAINT Tacho', 'ORG'), ('CAUSE Tacho', 'ORG'), ('Calibrate', 'ORG')]"
ROCKER TOP COVER,DEFORMED,RUBBER PLUG,3.0,23.932632, COMPLAINT  DEFORMED AND LOOSE SEATS OF THE UPPER ENGINE COVER CAUSED NOISE   CPRZ UPPER ENGINE COVER SOCKETS   CORRECTION  REPLACEMENT OF THE UPPER ENGINE COVER SOCKETS,"[('COMPLAINT', 'ORG'), ('NOISE', 'TYPE_OF_FAILURE'), ('CORRECTION', 'PERSON')]"
PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,0.0,22.56,"COMPLAIN  Service exit to the vehicle at the TT bypass, Strelnica. 
Vehicle Malfunction - AD Blue Error CAUSE  Heating failure AD Blue, ND unavailable  CORRECTION Vehicle issued from the service center - a direct route to the home is required service.","[('COMPLAIN  Service', 'ORG'), ('TT', 'ORG'), ('Strelnica', 'GPE'), ('Vehicle Malfunction - AD Blue Error CAUSE  Heating', 'ORG'), ('AD Blue', 'ORG'), ('ND', 'ORG'), ('CORRECTION Vehicle', 'ORG')]"
PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,1.0,216.66,"REKL  Power loss, max 20kmh, yellow triangle, Adblu warning light, Ad-
blu level ok REASON  The heating of the AD-Blue line has a short circuit  CORRECTION Preparation UDT station
Diagnosis of engine EDC system
769110BEF=
Determine the fault findings in the electrical system
Check wiring and connectors
Check power supply
Heating of the AD-Blue line
check/measure
.
AD-Blue line from the pump module to the doser
remove, install and renew
Test the control units and delete the error memory","[('REKL  Power', 'ORG'), ('max', 'PERSON'), ('20', 'CARDINAL'), ('Adblu', 'PERSON'), ('CORRECTION Preparation', 'ORG')]"
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,WHEEL BEARINGS,0.0,486.6, REKL  TOWING COSTS FROM OTHERS   REASON TOWING COSTS FROM THIRD PARTY   CORRECTION  TOWING COSTS FOR OTHERS,"[('THIRD', 'ORDINAL')]"
AD-BLUE METERING DEV MODU,DEFECT,NOZZLE,1.0,115.54,complaint  The vehicle loses power.   Incorrect injection of Adblue. fix  Adblue injector replacement.,"[('Adblue', 'ORG'), ('Adblue', 'ORG')]"
ANS 24H RECOVERY CHARGE,MISCELLANEOUS,RUBBER SLEEVE,0.0,164.8, DAMAGE TYPE  TOWING  CAUSE  TOWING   CORRECTION TOWING (FT 1215),"[('1215', 'DATE')]"
ANS 24 HOURS,MISCELLANEOUS,CATALYTIC SILENCER,58.0,204.42,"INCIDENT  troubleshooting call center 8001793211
on-call mechanic lives in Verlaine 
Verlaine -Soumagne Soumagne -Verlaine 
78-20 =58 kms 
mechanic time 1 hour +50% CAUSE  call center troubleshooting 8001793211
on-call mechanic lives in Verlaine 
Verlaine -Soumagne Soumagne -Verlaine 
78-20 =58 kms 
mechanic time 1 hour +50% SOLUTION  call center troubleshooting 8001793211
on-call mechanic lives in Verlaine 
Verlaine -Soumagne Soumagne -Verlaine 
78-20 =58 kms 
mechanic time 1 hour +50%","[('8001793211', 'DATE'), ('Verlaine', 'GPE'), ('78-20', 'CARDINAL'), ('58', 'CARDINAL'), ('1 hour', 'TIME'), ('CAUSE', 'ORG'), ('8001793211', 'DATE'), ('Verlaine', 'GPE'), ('78-20', 'CARDINAL'), ('58', 'CARDINAL'), ('1 hour', 'TIME'), ('8001793211', 'DATE'), ('Verlaine', 'GPE'), ('78-20', 'CARDINAL'), ('58', 'CARDINAL'), ('1 hour', 'TIME')]"
REAR LIGHT,WATER INFILTRATION,TAIL LAMP,17.0,295.326,"Error  Left rear light does not work  Reason There is water and dirt in it, + that moisture has destroyed it the connector of the cable. Correction  Changed to a new lamp and made a new contact for the lamp","[('Correction  Changed', 'ORG')]"
